ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
MU,"Micron Technology, Inc.",920.9500122070312,-6.99,30.0,20.5,8.5,12.5,15.5,5.0,92.0,False,47.14040763020861,0.86,975.7621856689453,902.9945383707683,659.3299179077148,501.8894593048096,0.3426,0.0073,77.66
AMAT,"Applied Materials, Inc.",536.25,-4.72,30.0,17.0,10.0,12.5,15.5,5.0,90.0,False,45.46224702520942,0.56,589.5854949951172,516.3977844238282,438.4207578023275,366.1350754547119,0.2407,0.0071,40.34
NVDA,NVIDIA Corporation,206.83999633789062,-0.92,30.0,20.5,9.5,12.5,11.5,5.0,89.0,False,51.087190023265286,0.84,203.33049850463868,208.8326176961263,197.1985055287679,192.71642066955567,0.6379,0.0092,-1.04
STX,Seagate Technology Holdings PLC,851.6900024414062,-6.75,30.0,17.5,7.5,12.5,15.5,5.0,88.0,False,47.778321221769886,1.02,869.6490020751953,864.7021240234375,652.237562306722,502.8675105285645,0.4207,0.0084,32.49
AVGO,Broadcom Inc.,381.9200134277344,-2.69,30.0,20.5,10.0,12.5,9.5,5.0,87.5,False,47.867470576062146,0.63,381.40199890136716,402.45636494954425,371.7311261494954,363.8306301879883,0.5109,0.015,-5.65
CSCO,"Cisco Systems, Inc.",114.16999816894531,1.25,28.5,14.5,10.0,12.5,17.0,5.0,87.5,False,49.38232033380207,0.79,114.3706714630127,113.33917859395345,96.94540774027506,87.7071314239502,0.4841,0.0206,27.94
WDC,Western Digital Corporation,519.7999877929688,-6.9,30.0,17.5,8.0,12.5,12.5,5.0,85.5,False,45.64380545377118,0.58,554.1119995117188,542.6306167602539,422.92088953653973,322.17825355529783,0.3203,0.0116,25.97
NXPI,NXP Semiconductors N.V.,269.239990234375,-2.9,30.0,17.5,7.5,12.5,13.0,5.0,85.5,False,42.673829959519814,1.04,277.66749877929686,294.77355906168617,254.12933896382648,239.051847076416,0.193,0.0401,-6.6
TXN,Texas Instruments Incorporated,279.5799865722656,-1.9,30.0,17.0,8.5,12.5,11.5,5.0,84.5,False,42.01373536565858,0.89,294.6629974365234,298.1384557088216,255.21149648030598,222.75995147705078,0.0815,0.0144,4.38
DXCM,"DexCom, Inc.",71.54000091552734,1.5,30.0,14.0,8.0,12.5,15.0,5.0,84.5,False,47.34944798685609,0.63,72.8645004272461,69.76133352915446,68.4308333714803,67.5006000328064,0.3808,0.0383,24.29
