ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
GOOGL,Alphabet Inc.,377.6499938964844,1.11,30.0,20.5,9.5,12.5,15.0,5.0,92.5,False,62.56607578544092,1.14,348.9375,364.08848470052084,341.7281194051107,327.25470367431643,0.9234,0.0049,-5.72
AVGO,Broadcom Inc.,418.1600036621094,6.61,30.0,20.5,8.0,12.5,15.0,5.0,91.0,False,61.79531752148006,1.37,388.0154998779297,399.13242594401044,375.42324981689455,365.48880905151367,1.1707,0.0137,-2.6
NVDA,NVIDIA Corporation,211.94000244140625,2.56,30.0,20.5,8.5,12.5,14.5,5.0,91.0,False,56.93649271163913,1.01,204.60149765014648,208.46553268432618,198.2272092183431,193.22388809204102,0.7905,0.009,-1.4
GOOG,Alphabet Inc.,375.3500061035156,0.77,30.0,20.5,6.5,12.5,15.0,5.0,89.5,False,62.47053764581424,0.96,347.9049987792969,361.8931091308594,340.00729319254555,326.46614311218264,0.9189,0.0049,-5.41
AMAT,"Applied Materials, Inc.",546.6199951171875,5.48,30.0,17.0,7.5,12.5,15.5,5.0,87.5,False,51.02134455930783,0.97,542.5029983520508,528.0633855183919,449.0774673461914,376.06639938354493,0.5246,0.007,25.69
MU,"Micron Technology, Inc.",892.6699829101562,7.62,30.0,20.5,8.5,12.5,10.5,5.0,87.0,False,48.76310482334417,0.78,901.640005493164,932.5365641276042,685.2483309427897,524.6542478942871,0.4678,0.0076,19.55
STX,Seagate Technology Holdings PLC,845.3499755859375,1.72,30.0,17.5,8.5,12.5,13.5,5.0,87.0,False,49.235410785045,0.87,842.0619964599609,874.8737630208333,675.3054796854655,523.7912921142578,0.5159,0.0104,8.09
ADI,"Analog Devices, Inc.",380.2900085449219,5.09,30.0,17.5,8.0,12.5,13.5,5.0,86.5,False,49.731827680074026,1.3,378.0850006103516,399.5346054077148,372.6593841552734,331.34532402038576,0.5476,0.0209,-8.45
AAPL,Apple Inc.,309.3800048828125,1.96,25.5,16.0,8.5,12.5,18.5,5.0,86.0,False,44.68514838751585,1.21,323.84100036621095,307.70700022379555,285.2217170715332,278.24673599243164,0.1686,0.0239,5.57
AMZN,"Amazon.com, Inc.",277.4200134277344,-2.32,28.5,17.0,9.5,12.5,12.0,5.0,84.5,False,67.04090885206494,1.4,247.4229995727539,250.43450012207032,238.09283332824708,235.65959999084473,0.9902,0.0011,1.74
LRCX,Lam Research Corporation,317.739990234375,7.85,30.0,17.0,7.5,12.5,12.0,5.0,84.0,False,50.01573399195941,1.28,313.6029968261719,330.2074620564779,284.8992630004883,242.44159858703614,0.5401,0.0082,8.13
TXN,Texas Instruments Incorporated,283.6300048828125,5.42,30.0,17.0,9.0,12.5,10.5,5.0,84.0,False,48.52147775040963,1.1,287.2881378173828,296.23710174560546,257.1351038614909,225.25933517456053,0.4255,0.0137,-0.94
WDC,Western Digital Corporation,548.5599975585938,4.05,30.0,17.5,5.5,12.5,13.5,5.0,84.0,False,51.565987340626336,1.05,526.7695007324219,550.0383961995443,436.732137298584,335.9269918823242,0.6407,0.011,14.31
TER,"Teradyne, Inc.",403.55999755859375,10.32,30.0,17.5,7.0,12.5,12.0,5.0,84.0,False,58.09538760925197,1.08,351.6669982910156,376.2613057454427,353.1046414693197,291.7325715637207,1.0842,0.0069,12.21
AMD,"Advanced Micro Devices, Inc.",518.5800170898438,7.0,27.0,17.0,7.0,12.5,15.5,5.0,84.0,False,52.32347509064902,1.33,511.81200408935547,502.1701680501302,372.1592506408691,314.5561003112793,0.5491,0.0085,13.93
CSCO,"Cisco Systems, Inc.",121.73999786376953,5.08,27.0,14.5,9.5,12.5,15.0,5.0,83.5,False,62.259893812002986,1.07,114.74749946594238,116.1479933420817,98.86159763336181,89.37642574310303,1.0165,0.0194,26.54
BKNG,Booking Holdings Inc. Common St,194.27000427246094,0.81,29.5,16.0,7.5,12.5,11.5,5.0,82.0,False,61.077879581732304,1.39,183.77300033569335,173.05007298787436,172.62206293741863,184.64250205993653,0.7964,0.047,17.37
ROST,"Ross Stores, Inc.",251.05999755859375,-0.73,30.0,10.0,9.0,12.5,15.5,5.0,82.0,False,67.88441295866376,0.95,236.43050231933594,228.01995162963868,221.00796496073406,202.82966300964355,0.7942,0.0254,11.4
FTNT,"Fortinet, Inc.",168.2899932861328,3.11,29.0,13.0,8.0,12.5,14.0,5.0,81.5,False,65.86375592594042,1.16,158.64999923706054,146.24866625467936,114.57649962107341,101.36824989318848,0.9506,0.0183,47.53
ASML,ASML Holding N.V. - New York Re,1711.8900146484375,4.22,29.0,14.5,7.5,12.5,12.5,5.0,81.0,False,49.458890499757146,0.77,1725.6923278808595,1717.804746500651,1561.3793833414713,1394.6872869873048,0.4568,0.0128,7.67
MSFT,Microsoft Corporation,492.80999755859375,1.06,28.5,16.0,8.5,12.5,10.0,5.0,80.5,False,79.03167559209118,1.27,407.11000061035156,404.26182810465497,400.56060791015625,432.05562240600585,1.1,0.0045,18.97
MPWR,"Monolithic Power Systems, Inc.",1335.030029296875,-0.69,30.0,13.0,7.0,12.5,11.5,5.0,79.0,False,47.76046191208542,1.27,1340.6705139160156,1458.5853881835938,1355.5781443277995,1211.1707858276368,0.4677,,-16.48
GILD,"Gilead Sciences, Inc.",135.25,3.13,30.0,11.5,6.5,12.5,13.0,5.0,78.5,False,57.99340391863855,1.56,132.18349990844726,129.77682507832844,134.9034620920817,130.67216220855713,0.8456,0.0472,3.66
LITE,Lumentum Holdings Inc.,849.469970703125,8.92,22.5,17.5,6.0,12.5,15.0,5.0,78.5,False,56.39372408338559,1.48,755.0549987792969,844.3991658528646,801.2684163411458,607.7302498626709,0.86,0.0014,-6.01
NXPI,NXP Semiconductors N.V.,237.60000610351562,5.99,30.0,17.5,6.0,12.5,7.5,5.0,78.5,False,36.41268991495095,1.23,265.72950134277346,289.0376780192057,255.18635177612305,240.05933311462402,0.1495,0.0593,-19.12
DXCM,"DexCom, Inc.",86.94000244140625,-0.42,28.5,11.5,8.5,12.5,12.0,5.0,78.0,False,71.67616449679198,1.14,75.9680004119873,72.03383350372314,68.9511666615804,67.95945001602173,1.0838,0.0311,43.44
EA,Electronic Arts Inc.,209.6999969482422,-0.1,26.5,15.5,5.5,12.5,13.0,5.0,78.0,False,75.57866176904068,9.64,208.3059989929199,204.5015431722005,202.96207491556802,202.59433143615723,0.7422,0.0422,4.72
SBUX,Starbucks Corporation,104.97000122070312,1.55,21.0,14.0,8.0,12.5,17.0,5.0,77.5,False,53.08068035740896,1.2,104.94000015258788,102.86323305765788,99.79974403381348,94.42748455047608,0.5052,0.0256,0.62
DDOG,"Datadog, Inc.",288.1499938964844,5.32,26.0,13.0,9.0,12.5,12.0,5.0,77.5,False,70.49016542441875,1.15,261.2150016784668,240.8000005086263,182.51354185740152,168.46485023498536,1.1347,0.0091,43.96
ADSK,"Autodesk, Inc.",237.2100067138672,1.07,30.0,17.5,7.5,12.5,5.0,5.0,77.5,False,62.83655449327597,0.95,219.1345001220703,219.51333389282226,229.80525016784668,253.13789985656737,0.8365,0.0611,-2.98
ABNB,"Airbnb, Inc.",149.9199981689453,-0.48,21.0,14.0,8.0,12.5,15.5,5.0,76.0,False,56.65734840001001,1.03,146.91950073242188,140.65250040690105,136.44208342234293,132.8139249420166,0.6749,0.0359,5.96
WDAY,"Workday, Inc.",171.27999877929688,3.77,26.5,17.5,4.5,12.5,10.0,5.0,76.0,False,67.07155876713287,0.7,147.29599876403807,135.57099927266438,133.32216612497965,164.9038995742798,0.987,0.0737,33.99
MDLZ,"Mondelez International, Inc.",62.08000183105469,0.57,23.0,12.5,8.0,12.5,14.5,5.0,75.5,False,53.95963031126683,1.21,60.76550006866455,60.802848434448244,59.289135773976646,57.80242889404297,0.6955,0.0283,1.71
ARM,Arm Holdings plc,280.55999755859375,17.36,27.5,14.5,4.5,12.5,11.5,5.0,75.5,False,49.790661333862566,1.48,273.0235008239746,308.0476659138997,229.9271250406901,190.77902500152587,0.5686,0.0045,31.55
MNST,Monster Beverage Corporation,94.18000030517578,0.67,25.5,8.5,7.0,12.5,17.0,5.0,75.5,False,46.772653579537184,1.08,96.1935001373291,92.56416664123535,84.87700010935465,80.84515018463135,0.2164,0.0183,9.14
ALAB,"Astera Labs, Inc.",361.6700134277344,12.65,28.0,11.5,4.5,12.5,13.5,5.0,75.0,False,55.41325878544538,2.14,329.2922492980957,336.6637491861979,240.39595801035563,209.37649990081786,0.677,0.0039,81.03
CDNS,"Cadence Design Systems, Inc.",340.6199951171875,1.33,30.0,8.5,8.5,12.5,10.5,5.0,75.0,False,44.017969340366186,0.84,349.95699920654295,367.78016662597656,334.4978332519531,327.7609501647949,0.3882,0.0172,-6.09
PAYX,"Paychex, Inc.",118.66000366210938,0.84,24.0,13.0,8.0,12.5,12.0,5.0,74.5,False,65.32578687345838,0.84,112.58910102844239,102.05015716552734,96.19661420186361,101.04619564056397,0.8165,,29.29
ROP,"Roper Technologies, Inc.",392.760009765625,0.05,27.0,13.0,7.0,12.5,10.0,5.0,74.5,False,63.13647635149856,1.03,368.1545013427734,344.1927235921224,346.8645779927572,380.85023986816407,0.8141,0.0583,14.69
CSX,CSX Corporation,51.029998779296875,2.41,23.0,11.5,8.0,12.5,14.0,5.0,74.0,False,57.39469777557915,0.98,50.4439998626709,47.79927151997884,44.80766458511353,41.28067052841187,0.629,0.0207,14.18
PLTR,Palantir Technologies Inc.,162.66000366210938,29.45,30.0,14.5,3.0,12.5,8.0,5.0,73.0,False,72.7995711515616,4.09,130.12250022888185,131.71808306376138,137.62137495676677,152.53569988250732,1.4124,0.0051,18.04
VRTX,Vertex Pharmaceuticals Incorpor,478.7049865722656,1.7,21.5,11.5,8.0,12.5,13.5,5.0,72.0,False,49.730321331390016,1.34,481.6052490234375,464.81858317057294,459.2217913309733,453.5811248779297,0.4007,,11.37
NBIS,Nebius Group N.V.,225.74000549316406,6.19,18.0,17.5,4.0,12.5,15.0,5.0,72.0,False,55.26546582572496,0.93,197.7654998779297,220.18516693115234,171.74070885976155,142.11137550354005,0.8295,-0.1073,27.5
MRVL,"Marvell Technology, Inc.",218.58999633789062,12.8,19.0,15.5,6.0,12.5,13.5,5.0,71.5,False,52.19465207116478,1.36,203.07964324951172,229.51079457600912,169.99591808319093,136.1780679321289,0.6852,0.0116,28.52
MCHP,Microchip Technology Incorporat,80.66999816894531,7.25,21.5,17.5,7.0,12.5,8.0,5.0,71.5,False,47.86885291800006,1.48,81.0935001373291,89.39183565775554,81.90577408472697,75.06788188934325,0.4789,0.026,-18.18
APP,Applovin Corporation,419.70001220703125,3.33,30.0,15.5,5.0,12.5,3.5,5.0,71.5,False,43.77772379325892,1.13,433.29100341796874,486.7250015258789,462.4441680908203,518.4494761657714,0.4147,0.0226,-10.43
COST,Costco Wholesale Corporation,947.8499755859375,-0.65,28.5,7.0,8.5,12.5,9.5,5.0,71.0,False,50.023776601653886,1.09,938.4703796386718,968.9559305826823,981.9604685465495,954.9753579711914,0.6316,0.0165,-5.89
FANG,"Diamondback Energy, Inc.",191.8699951171875,-3.46,30.0,4.0,5.5,12.5,14.0,5.0,71.0,False,47.97247041436171,2.05,194.83300094604493,192.94818369547525,189.27847188313802,173.01084106445313,0.3921,0.0932,2.24
ODFL,"Old Dominion Freight Line, Inc.",219.32000732421875,3.69,26.0,7.0,7.5,12.5,12.5,5.0,70.5,False,45.662294488822724,1.03,226.19000015258788,222.1322230021159,210.90819028218587,188.65885482788087,0.2812,,10.72
