ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
GOOGL,Alphabet Inc.,373.510009765625,4.88,30.0,20.5,9.5,12.5,15.0,5.0,92.5,False,61.132119132940915,1.25,348.4065002441406,364.42352498372395,341.23241806030273,326.619151763916,0.8884,0.005,-6.09
GOOG,Alphabet Inc.,372.4700012207031,4.44,30.0,20.5,6.5,12.5,15.0,5.0,89.5,False,61.44619499386268,1.32,347.3184982299805,362.2216461181641,339.5311612447103,325.8454820251465,0.9048,0.005,-5.72
AVGO,Broadcom Inc.,392.2300109863281,0.76,30.0,20.5,9.0,12.5,11.5,5.0,88.5,False,52.71620072411275,0.85,385.64649963378906,399.0282272338867,374.76517079671225,365.14486953735354,0.6753,0.0146,-4.78
CSCO,"Cisco Systems, Inc.",115.86000061035156,-0.11,28.5,14.5,10.0,12.5,16.5,5.0,87.0,False,52.74179133789022,0.81,114.24999961853027,115.64926872253417,98.5596399307251,89.1103307723999,0.6336,0.0203,26.19
NVDA,NVIDIA Corporation,206.63999938964844,2.93,30.0,20.5,8.5,12.5,10.0,5.0,86.5,False,53.08105156120193,0.99,203.85099716186522,208.45409571329753,198.03029518127443,193.06219276428223,0.6109,0.0093,-2.18
TER,"Teradyne, Inc.",365.79998779296875,-0.51,30.0,17.5,8.0,12.5,13.5,5.0,86.5,False,50.720168194721374,0.66,348.6444976806641,375.4349105834961,352.28037083943684,290.41882820129393,0.7307,0.0076,3.34
AMAT,"Applied Materials, Inc.",518.2100219726562,2.08,30.0,17.0,8.5,12.5,12.5,5.0,85.5,False,46.883681472240745,0.72,542.8969985961915,525.7885548909505,447.2577344258626,374.466150970459,0.353,0.0074,26.35
TXN,Texas Instruments Incorporated,269.0400085449219,-2.43,30.0,17.0,9.0,12.5,11.5,5.0,85.0,False,39.20989139520413,0.96,287.6969329833984,296.2397181193034,256.5938841501872,224.69541381835938,0.1205,0.0144,-5.2
STX,Seagate Technology Holdings PLC,831.0599975585938,-2.93,30.0,17.5,7.5,12.5,12.0,5.0,84.5,False,47.85407932426055,0.95,841.1764984130859,873.5494954427083,671.5547134399415,520.6558884429932,0.4513,0.0106,8.51
WDC,Western Digital Corporation,527.219970703125,-3.23,30.0,17.5,5.5,12.5,13.5,5.0,84.0,False,48.72613631451149,1.12,525.946499633789,548.6255477905273,434.3471867879232,333.78546272277833,0.5083,0.0114,13.68
AMD,"Advanced Micro Devices, Inc.",484.6400146484375,1.78,28.5,17.0,7.5,12.5,12.5,5.0,83.0,False,46.68825343449657,0.87,511.6885025024414,500.33483428955077,369.6175005594889,313.15620025634763,0.3038,0.0091,18.65
ASML,ASML Holding N.V. - New York Re,1642.52001953125,0.83,30.0,14.5,7.0,12.5,13.5,5.0,82.5,False,43.82887447525978,0.71,1727.3489868164063,1714.517264811198,1558.8529429117839,1391.143850708008,0.2349,0.0134,8.44
MU,"Micron Technology, Inc.",829.5,0.79,30.0,19.0,6.0,12.5,9.5,5.0,82.0,False,44.073082017393574,0.9,903.9255065917969,928.4342407226562,680.9180473327636,521.1496599578858,0.2347,0.0082,28.3
BKNG,Booking Holdings Inc. Common St,192.7100067138672,-0.1,29.5,16.0,7.5,12.5,11.5,5.0,82.0,False,59.849725948567055,1.23,183.15699996948243,172.6597478230794,172.42337455749512,184.68053718566895,0.7808,0.0474,12.79
ADI,"Analog Devices, Inc.",361.8800048828125,-1.51,30.0,17.5,7.5,12.5,9.5,5.0,82.0,False,40.39361205344538,0.96,378.0220001220703,399.98650614420575,372.184130859375,330.6234976959229,0.151,0.0219,-11.17
AAPL,Apple Inc.,303.4200134277344,-1.78,26.0,16.0,8.5,12.5,13.5,5.0,81.5,False,40.34078142030725,1.32,323.9050003051758,307.33692372639973,284.92211761474607,277.9430191802978,0.0268,0.0242,5.66
