ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
GOOGL,Alphabet Inc.,358.8900146484375,-0.84,30.0,18.5,10.0,12.5,13.5,5.0,89.5,False,48.20645968366634,0.67,357.84450073242186,366.8640294392904,339.2235816955566,318.0532350921631,0.5276,0.0064,7.87
MU,"Micron Technology, Inc.",991.6400146484375,4.52,30.0,20.5,8.5,12.5,12.5,5.0,89.0,False,49.99278341915629,0.74,1049.0593658447265,819.8809758504232,610.3361066182455,460.22545791625976,0.3424,0.0068,112.99
NVDA,NVIDIA Corporation,202.77999877929688,-0.66,30.0,20.5,9.5,12.5,11.5,5.0,89.0,False,49.668231451005994,0.89,201.42449874877929,208.10883356730145,195.44207280476888,191.5251229095459,0.5594,0.0094,3.19
NXPI,NXP Semiconductors N.V.,290.5400085449219,2.37,28.5,17.5,9.0,12.5,15.5,5.0,88.0,False,50.04377432867559,0.8,292.33876647949216,285.2460477193197,250.05610567728678,236.20150268554687,0.4688,0.0372,38.89
AVGO,Broadcom Inc.,401.1099853515625,3.2,30.0,20.5,8.0,12.5,12.0,5.0,88.0,False,54.14004358111337,0.9,381.15502014160154,405.9910364786784,366.66960093180336,360.9395845031738,0.9013,0.0143,5.51
ADI,"Analog Devices, Inc.",393.6400146484375,2.14,30.0,17.5,10.0,12.5,12.5,5.0,87.5,False,47.493371682821774,0.56,404.3905029296875,402.6921686808268,363.3776062011719,319.64220809936523,0.3586,0.0202,12.92
GOOG,Alphabet Inc.,356.239990234375,-0.69,30.0,18.5,7.5,12.5,13.5,5.0,87.0,False,48.17550525109005,0.69,355.7369979858398,364.1721150716146,337.68084716796875,317.40432044982913,0.5136,0.0064,7.83
META,"Meta Platforms, Inc.",631.47998046875,4.7,30.0,20.5,8.0,12.5,11.0,5.0,87.0,False,59.99811148356483,1.33,579.6154876708985,612.1047526041667,623.0174173990886,642.1429360961914,1.0378,0.0159,-4.59
STX,Seagate Technology Holdings PLC,890.0900268554688,3.5,30.0,17.5,8.5,12.5,12.5,5.0,86.0,False,48.89730648527372,0.89,948.0612060546875,811.0072977701823,607.6420583089192,468.84450675964354,0.3391,0.0081,66.98
WDC,Western Digital Corporation,578.0499877929688,5.04,30.0,17.5,8.0,12.5,12.5,5.0,85.5,False,49.51161070732676,0.63,617.5099990844726,515.7093307495118,396.8117168426514,299.58703407287595,0.3654,0.0104,57.84
TER,"Teradyne, Inc.",362.75,3.18,30.0,15.5,8.0,12.5,13.5,5.0,84.5,False,44.56405553607153,0.64,410.6999984741211,381.64649505615233,338.5145908355713,272.6256862640381,0.2187,0.0053,-0.72
TXN,Texas Instruments Incorporated,308.5299987792969,2.39,28.0,17.0,9.0,12.5,12.5,5.0,84.0,False,54.050649755965736,0.6,302.13499755859374,288.8950528462728,246.43549524943035,216.44872146606446,0.6317,0.0038,41.68
LRCX,Lam Research Corporation,353.1700134277344,6.01,30.0,14.5,8.5,12.5,12.5,5.0,83.0,False,49.646800065393705,0.82,372.8738159179687,316.5831469217936,272.37001406351726,226.84049827575683,0.3308,0.0099,29.74
AMAT,"Applied Materials, Inc.",588.6599731445312,3.18,28.0,17.0,7.5,12.5,12.5,5.0,82.5,False,52.25433378977605,1.06,603.442495727539,486.0782887776693,416.65053329467776,346.64397445678713,0.4296,0.0065,48.97
GILD,"Gilead Sciences, Inc.",134.83999633789062,-0.72,30.0,11.5,10.0,12.5,13.0,5.0,82.0,False,61.435214632500205,0.58,127.22925071716308,130.08768615722656,135.70584551493326,128.9113395690918,0.947,0.0474,-3.36
AAPL,Apple Inc.,316.2200012207031,0.9,25.5,14.5,10.0,12.5,14.0,5.0,81.5,False,63.86138944945692,0.69,296.91600036621094,292.0399815877279,275.68202006022136,271.7968216705322,0.9434,0.0218,22.29
CSCO,"Cisco Systems, Inc.",118.30999755859375,3.94,27.0,14.5,10.0,12.5,12.5,5.0,81.5,False,54.1009769651914,0.82,117.45874099731445,108.3233164469401,93.42156607309977,85.10868671417236,0.5715,0.0199,43.75
DXCM,"DexCom, Inc.",73.0199966430664,-1.4,30.0,14.0,8.0,12.5,11.5,5.0,81.0,False,55.61353497752091,0.83,71.67350006103516,67.57216663360596,68.25691655476888,67.11864999771119,0.636,0.0375,16.0
QCOM,QUALCOMM Incorporated,191.11000061035156,2.44,25.5,19.0,8.5,12.5,10.5,5.0,81.0,False,46.323010247316766,0.6,198.81849975585936,194.68083368937175,166.67637570699057,167.9637434387207,0.3719,0.0476,43.86
BKNG,Booking Holdings Inc. Common St,175.52000427246094,0.71,29.5,16.0,10.0,12.5,8.0,5.0,81.0,False,51.39607986310249,0.52,175.00250091552735,171.05683364868165,174.45648511250815,187.59131469726563,0.5184,0.052,-3.09
EA,Electronic Arts Inc.,206.55999755859375,0.82,26.5,15.5,10.0,12.5,11.0,5.0,80.5,False,71.36758633148317,0.69,204.2335006713867,202.6213165283203,202.02171936035157,201.19870063781738,0.9844,0.0428,1.93
AMD,"Advanced Micro Devices, Inc.",546.719970703125,5.66,24.5,17.0,8.0,12.5,12.5,5.0,79.5,False,55.856984089798225,0.87,525.6789947509766,446.34349924723307,330.88291613260907,285.6732495117187,0.6958,0.008,114.34
APP,Applovin Corporation,520.4299926757812,-0.34,30.0,15.5,6.0,12.5,9.5,5.0,78.5,False,52.05971553205058,0.82,499.8999938964844,499.1990000406901,474.17800064086913,538.07822555542,0.6669,0.0182,20.05
AMZN,"Amazon.com, Inc.",247.0399932861328,1.4,26.5,14.5,10.0,12.5,10.0,5.0,78.5,False,52.70565342375721,0.59,239.8244987487793,254.12683334350587,235.80708325703938,233.2446501159668,0.8277,0.0037,-0.8
ROP,"Roper Technologies, Inc.",355.94000244140625,0.3,29.5,15.5,8.0,12.5,7.5,5.0,78.0,False,62.200228003859344,0.45,340.2188919067383,340.2395802815755,348.00551732381183,392.7286077880859,0.7977,0.0604,0.8
ALAB,"Astera Labs, Inc.",417.45001220703125,6.18,28.0,11.5,8.5,12.5,12.5,5.0,78.0,False,55.82630369792155,0.58,401.8489990234375,298.084499613444,217.38737506866454,198.88530017852784,0.6103,0.0034,144.7
ABNB,"Airbnb, Inc.",146.88999938964844,2.76,21.0,14.0,10.0,12.5,15.5,5.0,78.0,False,57.5704044810787,0.68,141.90199966430663,138.62933324178059,133.66170819600424,130.52307483673096,0.7148,0.0366,9.74
MDLZ,"Mondelez International, Inc.",58.29999923706055,-1.98,24.5,14.5,8.5,12.5,13.0,5.0,78.0,False,42.62476961915672,0.61,60.411661338806155,60.018758837382,58.79655068715413,57.774056377410886,0.1415,0.038,1.64
ARM,Arm Holdings plc,327.8699951171875,9.2,25.5,14.5,7.0,12.5,12.5,5.0,77.0,False,48.68467159147121,0.69,355.7274963378906,286.4521654764811,206.5085413614909,180.44257495880126,0.3317,0.0022,103.37
VRTX,Vertex Pharmaceuticals Incorpor,496.5,-0.39,26.5,11.5,8.0,12.5,13.5,5.0,77.0,False,58.89539082370969,1.0,479.5530014038086,450.51916758219403,457.0201665242513,446.36954971313475,0.6466,0.0221,11.75
ROST,"Ross Stores, Inc.",220.60000610351562,1.32,30.0,10.0,9.0,12.5,10.5,5.0,77.0,False,48.78226283641901,0.88,224.1415008544922,224.2311871846517,213.60443649291992,194.92358139038086,0.4196,0.0289,-1.01
MPWR,"Monolithic Power Systems, Inc.",1374.1300048828125,4.46,30.0,13.0,8.0,12.5,8.5,5.0,77.0,False,46.43579460011224,0.73,1427.26708984375,1515.135616048177,1321.7413324991862,1174.2317626953125,0.3811,0.0073,0.94
SBUX,Starbucks Corporation,106.41000366210938,2.45,19.0,14.0,9.0,12.5,17.0,5.0,76.5,False,62.08777543493119,0.9,102.51100044250488,101.58026898701986,98.19242973327637,92.32050468444824,1.0271,-0.0108,8.7
ADSK,"Autodesk, Inc.",208.5800018310547,1.23,30.0,17.5,8.5,12.5,2.5,5.0,76.0,False,49.65979592959175,0.56,199.93450012207032,225.6965003967285,235.0769997914632,261.765299911499,0.7468,0.0695,-8.75
MRVL,"Marvell Technology, Inc.",243.27000427246094,4.99,17.0,17.0,9.5,12.5,14.5,5.0,75.5,False,46.96417368268989,0.41,273.01150131225586,216.2823336283366,152.15072078704833,125.90622310638427,0.1944,0.0107,81.78
AXON,"Axon Enterprise, Inc.",582.0,-2.97,28.5,11.5,6.5,12.5,11.5,5.0,75.5,False,64.52979676048307,0.84,498.8355010986328,441.80566762288413,464.4079170227051,530.4886512756348,0.7612,0.0013,52.81
MCHP,Microchip Technology Incorporat,88.26000213623047,3.24,19.5,17.5,8.0,12.5,12.5,5.0,75.0,False,46.884483408066444,0.81,91.775,91.37391815185546,81.15187266667684,73.55849243164063,0.3326,0.0238,19.06
NFLX,"Netflix, Inc.",75.47000122070312,-0.16,30.0,17.0,7.0,12.5,3.5,5.0,75.0,False,42.64934512397156,0.71,76.04349899291992,85.26199938456217,87.31733303070068,95.18714988708496,0.4584,0.0818,-28.99
BKR,Baker Hughes Company,57.20000076293945,-0.66,27.0,11.5,8.5,12.5,10.5,5.0,75.0,False,44.91649161059001,0.79,58.03600025177002,62.517452812194826,60.949454879760744,55.51339134216309,0.438,0.0555,-6.67
