ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
NVDA,NVIDIA Corporation,225.50999450683594,-1.47,30.0,20.5,9.5,12.5,15.5,5.0,93.0,False,55.85055207212591,0.66,221.02959594726562,212.92388610839845,209.3581027984619,198.71447387695312,0.6784,0.0077,12.83
MU,"Micron Technology, Inc.",1071.8800048828125,-2.22,30.0,20.5,8.0,12.5,14.0,5.0,90.0,False,62.189486115436495,0.85,979.6915008544922,943.3343994140625,846.3687375386556,652.5791735839844,0.9505,0.0063,-7.13
CSCO,"Cisco Systems, Inc.",106.43000030517578,-0.01,30.0,19.0,9.0,12.5,13.0,5.0,88.5,False,40.792060948193495,1.05,109.60299949645996,113.19193534851074,108.80498892466227,96.25343715667725,0.035,0.0267,-9.05
STX,Seagate Technology Holdings PLC,923.8599853515625,5.3,30.0,19.0,8.5,12.5,12.0,5.0,87.0,False,60.05128774438966,0.88,837.6449981689453,851.378998819987,803.4464057922363,625.1591345214844,1.0429,0.0093,-4.61
AMD,"Advanced Micro Devices, Inc.",614.6099853515625,-1.47,27.5,20.5,9.0,12.5,12.0,5.0,86.5,False,71.00438495351266,0.77,512.989501953125,506.9691680908203,458.72000109354656,360.64950050354,0.9772,0.0088,5.8
MRVL,"Marvell Technology, Inc.",260.8999938964844,-0.56,30.0,17.0,8.0,12.5,14.0,5.0,86.5,False,63.13939817744579,0.63,231.1724998474121,222.46122283935546,211.42797336578369,160.81090438842773,0.9317,0.0103,-12.4
AMAT,"Applied Materials, Inc.",474.3800048828125,0.41,30.0,19.0,8.5,12.5,11.5,5.0,86.5,False,52.553390654469695,0.71,451.95300140380857,512.1547403971355,485.10061162312826,418.5761959838867,0.765,0.0082,-34.32
ADI,"Analog Devices, Inc.",385.2300109863281,0.58,30.0,17.5,8.0,12.5,13.0,5.0,86.0,False,60.38759811500155,0.92,366.32945709228517,374.8143885294596,384.3614428202311,352.9919575500488,1.0261,0.0222,-1.37
TXN,Texas Instruments Incorporated,272.6199951171875,0.65,30.0,19.0,7.5,12.5,12.0,5.0,86.0,False,56.0320138990101,0.93,261.6070037841797,276.42828369140625,275.75445721944175,243.09582496643065,1.0172,0.0142,-4.02
AMZN,"Amazon.com, Inc.",249.27000427246094,-2.24,30.0,14.5,8.5,12.5,15.0,5.0,85.5,False,44.07415719162127,1.25,255.18050003051758,254.30333302815754,253.09833335876465,240.6346999359131,0.1862,0.0012,4.59
LRCX,Lam Research Corporation,307.2799987792969,-1.18,30.0,17.0,7.5,12.5,13.5,5.0,85.5,False,52.9722664890839,1.02,296.88499908447267,313.8034993489583,308.19185269673665,269.24166862487795,0.6586,0.008,-29.09
TER,"Teradyne, Inc.",389.1400146484375,1.99,30.0,17.5,8.0,12.5,12.0,5.0,85.0,False,56.709748381027296,0.78,359.10732116699216,369.2835693359375,371.5339419047038,326.57621788024903,0.9071,0.0072,-15.96
