ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
NVDA,NVIDIA Corporation,217.55999755859375,-0.99,30.0,20.5,9.5,14.0,18.5,5.0,97.5,False,54.21925430584458,0.82,212.37899932861328,208.35510940551757,201.23794352213542,195.00763526916504,0.6132,0.0088,1.37
MU,"Micron Technology, Inc.",937.10498046875,-0.39,30.0,20.5,8.5,14.0,13.5,5.0,91.5,False,51.8123706487867,0.63,894.7447509765625,963.6535949707031,731.2567934672038,563.5322610473632,0.6647,0.0072,4.62
GOOGL,Alphabet Inc.,344.7200012207031,0.15,30.0,20.5,10.0,14.0,8.5,5.0,88.0,False,46.52646590601844,0.66,345.99399719238284,356.1834767659505,345.5397773742676,332.15906829833983,0.4799,0.0054,-11.3
TXN,Texas Instruments Incorporated,267.45001220703125,-1.76,30.0,17.0,8.5,14.0,13.0,5.0,87.5,False,40.933755974004654,0.85,277.35436553955077,292.23040466308595,262.6213704427083,231.36917640686036,0.0107,0.0145,-17.26
CSCO,"Cisco Systems, Inc.",110.55000305175781,-0.95,30.0,17.0,10.0,14.0,11.5,5.0,87.5,False,40.75833238855567,0.77,116.38050003051758,117.44844856262208,102.49053738911947,91.985,0.1635,0.0265,-6.23
AVGO,Broadcom Inc.,362.4800109863281,-4.61,30.0,20.5,7.5,14.0,9.5,5.0,86.5,False,35.335770178572176,1.78,398.16050109863284,396.4063995361328,382.4115447998047,368.2748106384277,0.0441,0.0158,-13.97
ADI,"Analog Devices, Inc.",373.260009765625,-0.89,30.0,17.5,7.5,14.0,12.5,5.0,86.5,False,44.987387848885426,1.48,376.4360015869141,394.1004867553711,376.1224082946777,339.27052864074705,0.4202,0.0213,-10.87
AMZN,"Amazon.com, Inc.",265.8399963378906,2.46,28.5,17.0,9.5,14.0,12.5,5.0,86.5,False,55.638761801406616,0.67,258.7299995422363,250.74183349609376,243.88983345031738,238.22340003967284,0.5929,0.0011,0.21
TER,"Teradyne, Inc.",379.6499938964844,-6.09,30.0,15.5,8.0,14.0,13.5,5.0,86.0,False,49.092181233431084,0.76,377.9210006713867,384.879665629069,360.00153732299805,305.3779090118408,0.5136,0.0074,-2.44
AMD,"Advanced Micro Devices, Inc.",466.4200134277344,-3.71,30.0,17.0,7.5,14.0,12.5,5.0,86.0,False,44.162276213669614,0.66,487.06200408935547,509.7438349405924,397.8023342132568,327.7285504150391,0.2913,0.0116,-7.44
STX,Seagate Technology Holdings PLC,832.5599975585938,-7.87,30.0,17.5,7.5,14.0,11.5,5.0,85.5,False,46.5606865137182,1.09,855.34599609375,890.601143391927,717.6438351949056,559.2840238189697,0.408,0.0103,-1.49
MSFT,Microsoft Corporation,484.30999755859375,0.56,30.0,16.0,10.0,14.0,10.5,5.0,85.5,False,63.53486736962257,0.53,463.0364990234375,418.66949768066405,409.44994099934894,430.55168579101564,0.6139,0.0046,16.41
WDC,Western Digital Corporation,462.0899963378906,-6.87,30.0,17.5,6.5,14.0,12.5,5.0,85.5,False,44.02206085668073,0.78,494.0469970703125,548.9120646158855,454.3449811299642,355.0574475860596,0.3048,0.0136,-11.9
ROST,"Ross Stores, Inc.",234.69000244140625,-0.71,30.0,10.0,8.0,14.0,18.5,5.0,85.5,False,41.4895576330463,1.24,246.9775016784668,233.13213475545248,224.84786593119304,206.99468803405762,0.0938,0.0272,8.27
GOOG,Alphabet Inc.,341.70001220703125,0.12,30.0,20.5,7.0,14.0,8.5,5.0,85.0,False,45.33772140624115,0.67,344.6925018310547,354.27621103922525,343.61596196492513,331.2298257446289,0.4514,0.0054,-11.16
AAPL,Apple Inc.,316.8299865722656,2.19,25.5,16.0,8.5,14.0,15.5,5.0,84.5,False,53.9970847978921,0.94,315.87361907958984,309.2271570841471,288.87857348124186,280.6124668884277,0.5186,0.0233,2.85
PLTR,Palantir Technologies Inc.,175.19000244140625,2.13,30.0,14.5,7.5,14.0,13.5,5.0,84.5,False,67.61093883695608,0.77,151.89399833679198,138.21133257548016,141.08454113006593,151.77464977264404,0.7453,0.0051,28.25
AMAT,"Applied Materials, Inc.",496.1700134277344,-3.53,30.0,17.0,8.5,14.0,9.5,5.0,84.0,False,43.75188011013447,0.82,519.3695007324219,545.6996653238932,463.84804356892903,392.48402839660645,0.2924,0.0081,9.07
FTNT,"Fortinet, Inc.",152.85000610351562,-3.27,30.0,13.0,8.0,14.0,13.5,5.0,83.5,False,44.28035493742957,0.71,158.50849990844728,153.0776663462321,121.8590830485026,105.52839992523194,0.2363,0.0202,14.1
ASML,ASML Holding N.V. - New York Re,1751.72998046875,-2.84,29.0,14.5,7.5,14.0,13.5,5.0,83.5,False,49.37723498026327,0.79,1728.6711669921874,1760.551690673828,1591.4770670572916,1435.7454873657227,0.5627,0.0125,7.47
MPWR,"Monolithic Power Systems, Inc.",1300.1400146484375,-2.48,30.0,15.5,8.0,14.0,10.5,5.0,83.0,False,43.540308886977215,0.87,1352.6680114746093,1430.4092590332032,1368.0669921875,1224.270305786133,0.2181,0.007,-16.17
ADSK,"Autodesk, Inc.",251.2899932861328,1.82,30.0,17.5,8.5,14.0,8.0,5.0,83.0,False,60.45956781624607,0.72,239.31650009155274,222.5906669616699,232.0732499440511,251.25209968566895,0.7036,0.0577,3.14
BKNG,Booking Holdings Inc. Common St,213.0,2.28,27.0,16.0,9.0,14.0,12.0,5.0,83.0,False,65.06965800152825,0.74,201.4529998779297,182.52719701131184,176.77514114379883,185.13111595153808,0.7321,0.0483,32.58
LRCX,Lam Research Corporation,307.1700134277344,-6.33,30.0,14.5,7.5,14.0,11.5,5.0,82.5,False,46.202749406262,0.92,307.92049713134764,335.363286336263,292.28906237284343,251.81636428833008,0.4914,0.008,-4.74
DDOG,"Datadog, Inc.",233.52000427246094,-5.07,28.0,13.0,8.5,14.0,13.5,5.0,82.0,False,42.71279638807574,0.79,254.29350204467772,248.0380007425944,194.48275044759114,173.55277534484864,0.1761,0.0125,4.41
SHOP,Shopify Inc.,146.5800018310547,0.0,28.0,11.5,10.0,14.0,13.5,5.0,82.0,False,58.8584736091781,0.52,137.40250091552736,123.1161668141683,120.74066683451335,131.84434997558594,0.6447,0.0084,39.73
SBUX,Starbucks Corporation,104.9800033569336,-0.97,21.0,14.0,9.0,14.0,18.5,5.0,81.5,False,49.89112700733312,0.83,104.94368362426758,102.5091480255127,100.22536214192708,95.15626487731933,0.5049,0.0256,4.1
DXCM,"DexCom, Inc.",89.87999725341797,0.31,28.0,11.5,7.0,14.0,15.5,5.0,81.0,False,66.40227100571585,1.53,83.27500038146972,76.38883361816406,70.46916669209799,69.00165006637573,0.7295,0.0301,24.82
ARM,Arm Holdings plc,249.33999633789062,-1.57,29.5,14.5,5.5,14.0,12.5,5.0,81.0,False,40.80766405089377,0.79,263.22599868774415,314.58449834187826,243.19670817057292,196.36122486114502,0.3074,0.005,-22.38
CSX,CSX Corporation,50.68000030517578,0.88,23.0,11.5,10.0,14.0,17.0,5.0,80.5,False,55.16984784702143,0.71,50.74500026702881,48.72989145914713,45.62710037231445,42.09460653305054,0.4822,0.0208,9.07
MDLZ,"Mondelez International, Inc.",64.16000366210938,2.39,23.0,12.5,9.0,14.0,17.0,5.0,80.5,False,59.77300253459089,0.77,62.375,61.12928345998128,59.58835515975952,57.987421398162844,0.8735,0.0275,5.65
WDAY,"Workday, Inc.",198.4199981689453,4.08,24.5,17.5,7.0,14.0,12.0,5.0,80.0,False,66.62243440057014,0.79,171.9934986114502,146.9658322652181,137.64174938201904,162.04884952545166,0.8209,0.0636,59.99
NXPI,NXP Semiconductors N.V.,226.02000427246094,-1.11,30.0,17.5,7.0,14.0,5.5,5.0,79.0,False,35.13927000336429,0.71,240.50850143432618,277.03594233194985,254.9015738169352,241.12903434753417,0.2644,0.0624,-31.83
