ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
STX,Seagate Technology Holdings PLC,913.3599853515625,0.58,30.0,19.0,8.5,12.5,15.5,5.0,90.5,False,53.46571306717168,0.89,878.3325012207031,860.1509155273437,648.5292297363281,499.8170632171631,0.6322,0.0078,57.85
AVGO,Broadcom Inc.,392.4700012207031,-1.09,30.0,20.5,10.0,12.5,11.5,5.0,89.5,False,51.901227709268696,0.72,381.2514984130859,402.7443344116211,371.2991600036621,363.58913192749026,0.7354,0.0146,-1.69
NVDA,NVIDIA Corporation,208.75999450683594,-1.56,30.0,20.5,9.5,12.5,11.5,5.0,89.0,False,52.942870415061826,0.82,202.77549896240234,208.9339818318685,197.06564865112304,192.6087393951416,0.7294,0.0092,-1.95
MU,"Micron Technology, Inc.",990.2100219726562,3.2,30.0,20.5,8.5,12.5,12.5,5.0,89.0,False,52.52669405023375,0.81,990.3833557128906,896.0489125569661,655.1106852213542,498.23857620239255,0.4996,0.0068,96.39
TER,"Teradyne, Inc.",373.75,1.16,30.0,15.5,9.5,12.5,15.5,5.0,88.0,False,50.2226138577349,0.49,379.0489959716797,375.8968129475912,348.10220387776695,283.22243827819824,0.4734,0.0051,-1.64
WDC,Western Digital Corporation,558.2999877929688,0.29,30.0,17.5,6.5,12.5,15.5,5.0,87.0,False,50.42501277321589,0.66,561.8915008544922,540.482085164388,420.6729331970215,320.20468833923337,0.4834,0.0108,42.83
DXCM,"DexCom, Inc.",70.4800033569336,-1.33,30.0,14.0,8.0,12.5,16.0,5.0,85.5,False,44.75163189602803,0.73,72.72000045776367,69.55766684214274,68.4433333714803,67.47470003128052,0.3084,0.0389,18.81
AMAT,"Applied Materials, Inc.",562.7999877929688,1.6,28.5,17.0,10.0,12.5,12.5,5.0,85.5,False,49.38305661873819,0.51,596.1729949951172,513.8042307535808,436.63133138020834,364.5684078979492,0.3415,0.0068,47.86
ADI,"Analog Devices, Inc.",380.20001220703125,-1.69,30.0,17.5,9.0,12.5,11.0,5.0,85.0,False,44.708409256455354,0.85,387.5145004272461,403.7099884033203,369.2932637532552,325.98923385620117,0.3156,0.0209,-0.53
TXN,Texas Instruments Incorporated,284.989990234375,-3.13,28.5,17.0,8.0,12.5,13.5,5.0,84.5,False,44.33745212970183,1.27,296.27449798583984,297.8731282552083,254.6688325246175,222.25269081115724,0.1884,0.0041,8.09
CSCO,"Cisco Systems, Inc.",112.76000213623047,0.49,30.0,14.5,10.0,12.5,12.5,5.0,84.5,False,46.749484798716296,0.64,114.58850135803223,112.8786164601644,96.64072043100992,87.47587955474853,0.3606,0.0209,30.3
LRCX,Lam Research Corporation,319.7799987792969,0.15,30.0,14.5,8.5,12.5,13.5,5.0,84.0,False,44.560076359912415,0.64,349.7170013427734,327.0282752990723,280.6137587229411,236.43887908935548,0.2898,0.0109,27.38
ROST,"Ross Stores, Inc.",232.38999938964844,-2.44,30.0,10.0,9.0,12.5,16.5,5.0,83.0,False,57.114747717387985,0.67,221.86000061035156,224.9811233520508,217.0654177347819,198.92348014831543,0.7732,0.0275,3.25
ASML,ASML Holding N.V. - New York Re,1803.0,0.06,29.0,14.5,9.0,12.5,12.5,5.0,82.5,False,52.05404746013754,0.54,1802.903497314453,1692.3871663411458,1546.5230072021484,1369.9541848754882,0.5004,0.0122,30.22
AAPL,Apple Inc.,321.6600036621094,-1.3,25.5,14.5,9.5,12.5,15.5,5.0,82.5,False,58.11287810650677,0.63,311.4919998168945,301.42264862060546,281.6460795084635,275.2781595611572,0.6445,0.0214,18.93
META,"Meta Platforms, Inc.",606.0999755859375,-3.36,30.0,20.5,10.0,12.5,3.5,5.0,81.5,False,46.319118593661926,0.79,618.3529907226563,608.4587290445963,622.9881189982096,637.7148031616211,0.4264,0.0166,-9.63
EA,Electronic Arts Inc.,209.0,0.02,26.5,15.5,9.0,12.5,13.0,5.0,81.5,False,77.0196541200643,0.94,206.6264991760254,203.47145385742186,202.37144190470377,202.20587913513182,0.8606,0.0423,3.29
AMZN,"Amazon.com, Inc.",233.66000366210938,-4.57,28.5,17.0,9.0,12.5,9.0,5.0,81.0,False,38.624010801180155,0.87,243.58099975585938,253.0726671854655,236.53475036621094,234.5321501159668,0.124,0.0039,-10.03
NXPI,NXP Semiconductors N.V.,277.2900085449219,-0.54,28.5,17.5,7.5,12.5,10.0,5.0,81.0,False,46.7135688739096,1.05,279.1375,294.1130780537923,253.75410486857098,238.84778076171875,0.4424,0.039,20.77
GOOGL,Alphabet Inc.,317.69000244140625,-7.13,30.0,18.5,7.5,12.5,7.5,5.0,81.0,False,31.025930722998055,2.01,353.3904998779297,368.7290934244792,340.81422907511393,323.24492012023927,-0.2382,0.0066,-9.12
AMD,"Advanced Micro Devices, Inc.",539.6900024414062,-2.29,26.5,17.0,7.0,12.5,12.5,5.0,80.5,False,53.515673251490306,0.95,533.5904998779297,486.10616709391275,354.57566693623863,304.08529998779295,0.572,0.0082,66.98
ALAB,"Astera Labs, Inc.",326.9700012207031,-1.19,28.0,11.5,7.0,12.5,16.5,5.0,80.5,False,43.825109494530686,0.59,379.4882476806641,323.76991577148436,231.32712472279866,205.5202248764038,0.2452,0.0043,78.37
BKNG,Booking Holdings Inc. Common St,172.8300018310547,-2.83,29.5,16.0,8.5,12.5,8.5,5.0,80.0,False,45.35460564226812,0.7,179.34100036621095,169.99631067911784,172.01184145609537,185.249779586792,0.0339,0.0528,-0.07
DDOG,"Datadog, Inc.",244.38999938964844,-0.56,26.5,13.0,10.0,12.5,12.5,5.0,79.5,False,47.46099527220475,0.56,255.94400024414062,224.98383356730145,172.87820854187012,164.32400024414062,0.2483,0.0108,85.78
MPWR,"Monolithic Power Systems, Inc.",1397.1500244140625,-0.09,30.0,13.0,8.0,12.5,10.0,5.0,78.5,False,50.672482866741575,0.65,1343.3764038085938,1491.486142985026,1344.536117553711,1196.5235159301758,0.808,0.0072,-6.97
ARM,Arm Holdings plc,283.0400085449219,-0.13,28.0,14.5,7.0,12.5,11.5,5.0,78.5,False,43.23338025102883,0.57,305.95999908447266,302.84316584269203,220.84429175059,187.38780010223388,0.303,0.0025,42.48
GILD,"Gilead Sciences, Inc.",130.86000061035156,0.4,30.0,11.5,8.5,12.5,11.0,5.0,78.5,False,50.617921427926014,0.84,130.82499961853028,129.70095520019532,135.78758443196614,129.9986234664917,0.5024,0.0488,1.9
GOOG,Alphabet Inc.,318.3399963378906,-6.89,30.0,18.5,4.5,12.5,7.5,5.0,78.0,False,32.267082364091536,2.01,351.50049743652346,366.23205820719403,339.16808700561523,322.5177613067627,-0.2245,0.0066,-8.34
VRTX,Vertex Pharmaceuticals Incorpor,473.0899963378906,0.11,28.0,11.5,9.0,12.5,11.5,5.0,77.5,False,46.335503306626904,0.69,491.97949981689453,457.7058334350586,458.47858301798504,450.8119497680664,0.2259,0.0232,9.99
KLAC,KLA Corporation,218.72999572753906,1.88,21.0,14.5,8.5,12.5,15.5,5.0,77.0,False,47.08381989139458,0.63,234.45499954223632,213.17761255900066,183.46210950215658,159.77521091461182,0.3395,0.0101,21.07
LITE,Lumentum Holdings Inc.,833.6400146484375,0.47,22.5,17.5,6.0,12.5,13.5,5.0,77.0,False,52.758873025390095,1.01,784.1689971923828,870.1286671956381,785.8085838317871,585.2220000457763,0.7288,0.0014,5.34
MNST,Monster Beverage Corporation,93.55999755859375,-2.21,25.5,8.5,8.0,12.5,17.5,5.0,77.0,False,45.82542035600856,0.64,96.67649993896484,90.0123332977295,83.91933345794678,79.75255020141601,-0.0513,0.0184,21.21
QCOM,QUALCOMM Incorporated,171.11000061035156,-2.57,27.0,17.5,7.0,12.5,7.5,5.0,76.5,False,39.09204818958149,0.66,181.76299972534179,200.73694610595703,168.04908205668133,167.93376182556153,0.198,0.0532,14.49
NBIS,Nebius Group N.V.,220.97000122070312,1.29,19.5,17.5,5.0,12.5,16.5,5.0,76.0,False,51.41433701411781,0.84,216.59249954223634,216.70016657511394,164.9041254043579,139.63927543640136,0.5405,-0.1096,63.07
SBUX,Starbucks Corporation,103.20999908447266,-0.74,19.0,14.0,8.0,12.5,17.0,5.0,75.5,False,48.09070326915944,1.0,104.63050003051758,102.7995101928711,99.15608348846436,93.42592914581299,0.2818,-0.0111,6.72
MSFT,Microsoft Corporation,381.5799865722656,-2.24,28.0,18.5,7.5,12.5,3.5,5.0,75.0,False,44.68608020349205,0.71,385.44849700927733,402.21984303792317,399.1867411295573,435.42917694091796,0.4178,0.0131,-10.91
PAYX,"Paychex, Inc.",110.66000366210938,-0.07,26.0,13.0,7.0,12.5,11.5,5.0,75.0,False,59.89627758643007,0.99,107.2814998626709,99.5346144358317,95.8484400431315,102.26196575164795,0.6545,,23.18
MCHP,Microchip Technology Incorporat,81.3499984741211,-4.32,21.5,17.5,7.0,12.5,11.0,5.0,74.5,False,41.743267112292266,0.98,86.01099967956543,91.83761444091797,81.89356800715129,74.56641820907593,0.173,0.0258,-2.97
ADSK,"Autodesk, Inc.",205.25999450683594,0.86,30.0,17.5,7.0,12.5,2.5,5.0,74.5,False,45.73030545618611,0.76,206.30599822998047,220.90966669718424,230.62049992879233,256.2534497070312,0.4671,0.0706,-12.6
ABNB,"Airbnb, Inc.",137.57000732421875,-1.77,21.0,14.0,8.0,12.5,13.5,5.0,74.0,False,40.33808169246914,1.0,145.5275001525879,139.35300038655598,134.72712491353352,131.64542491912843,-0.1449,0.0391,-1.06
SNDK,Sandisk Corporation,1610.3299560546875,0.69,25.0,13.0,5.5,12.5,12.5,5.0,73.5,False,46.9951960986866,0.93,1769.6594848632812,1656.9529947916667,1180.8414154052734,810.2545991897583,0.3555,0.0095,60.66
FTNT,"Fortinet, Inc.",151.5399932861328,-2.26,25.0,8.5,8.0,12.5,14.5,5.0,73.5,False,47.61800350677482,0.88,158.1959991455078,137.31299959818523,109.58041642506917,98.47924991607665,0.1358,0.0163,76.78
MDLZ,"Mondelez International, Inc.",60.04999923706055,-1.33,23.0,12.5,8.0,12.5,11.5,5.0,72.5,False,49.78989235607063,0.92,59.77829780578613,60.576030286153156,59.0544867515564,57.71673929214477,0.5701,0.0369,3.44
ROP,"Roper Technologies, Inc.",355.1199951171875,5.47,29.5,15.5,5.5,12.5,4.5,5.0,72.5,False,53.838300590950695,1.49,351.95091857910154,339.56957753499347,344.7312388102213,385.62063262939455,0.5716,0.0605,0.53
MRVL,"Marvell Technology, Inc.",209.32000732421875,-0.79,19.0,15.5,8.5,12.5,11.5,5.0,72.0,False,43.05829962634598,0.58,233.87748641967772,226.1715990702311,162.6686907450358,132.19508613586424,0.31,0.0121,36.64
BKR,Baker Hughes Company,56.09000015258789,-0.9,27.0,11.5,7.5,12.5,8.5,5.0,72.0,False,43.02288386191853,0.95,56.06850032806396,61.57304280598958,61.18007621765137,55.919032192230226,0.5036,0.0566,-16.84
LIN,Linde plc,506.32000732421875,-0.46,17.5,13.0,10.0,12.5,13.5,5.0,71.5,False,42.28200870610666,0.84,522.0319976806641,511.9627736409505,499.7281883239746,470.4973356628418,0.1604,0.0201,-0.46
WDAY,"Workday, Inc.",127.87000274658203,-3.44,30.0,17.5,3.5,12.5,2.5,5.0,71.0,False,43.01207986371506,1.01,135.5924991607666,131.2024996439616,133.69249947865805,168.02569957733155,0.29,0.0988,5.52
APP,Applovin Corporation,398.8599853515625,-3.3,30.0,15.5,5.0,12.5,2.5,5.0,70.5,False,32.44697645792755,0.98,475.91199798583983,494.5850006103516,464.71475143432616,526.2153761291504,0.1143,0.0237,-11.17
ADBE,Adobe Inc.,212.1699981689453,-2.83,25.5,17.5,6.5,12.5,3.5,5.0,70.5,False,42.34125868177628,0.74,219.3034996032715,231.90300064086915,243.58800036112467,279.43575019836425,0.3449,0.1093,-12.76
