ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
MU,"Micron Technology, Inc.",938.4000244140625,0.58,30.0,20.5,9.0,12.5,13.5,5.0,90.5,False,51.33878646033668,0.51,912.3459991455078,963.142529296875,753.9361582438152,581.3908167266845,0.6298,0.0072,-11.8
NVDA,NVIDIA Corporation,209.66000366210938,-1.59,30.0,20.5,8.5,12.5,13.5,5.0,90.0,False,46.29839323852776,1.26,215.5605010986328,208.13517634073892,202.55264218648276,195.37099960327149,0.3217,0.0091,-5.8
AAPL,Apple Inc.,313.45001220703125,1.15,25.5,16.0,9.5,12.5,18.5,5.0,87.0,False,51.54187318951186,0.67,310.16956481933596,309.3207514444987,290.8887654622396,281.66214584350587,0.6258,0.0235,-0.47
AMZN,"Amazon.com, Inc.",260.2799987792969,-0.3,28.5,17.0,10.0,12.5,13.5,5.0,86.5,False,50.87657143625372,0.45,266.10399932861327,250.06033274332682,245.8837500254313,238.5302500152588,0.358,0.0011,1.47
AMAT,"Applied Materials, Inc.",479.760009765625,-0.06,30.0,19.0,8.5,12.5,11.5,5.0,86.5,False,41.03611421839488,0.67,514.1332916259765,548.0148503621419,468.6574531555176,398.3826145172119,0.1037,0.0081,-2.0
GOOGL,Alphabet Inc.,342.0,-1.43,30.0,20.5,10.0,12.5,8.0,5.0,86.0,False,45.187716332946,0.78,350.3989990234375,352.8352915445964,347.1949737548828,333.72785049438477,0.3094,0.0054,-5.43
LRCX,Lam Research Corporation,312.8800048828125,-0.57,30.0,17.0,10.0,12.5,11.5,5.0,86.0,False,48.19540617915174,0.44,314.10449981689453,334.8374989827474,295.9891794840495,255.63315544128417,0.4773,0.0079,-6.37
ADI,"Analog Devices, Inc.",371.79998779296875,-0.5,30.0,17.5,10.0,12.5,11.0,5.0,86.0,False,44.8996897704357,0.54,377.27650146484376,390.65466868082683,377.35939610799153,342.79480056762696,0.3326,0.023,-12.15
STX,Seagate Technology Holdings PLC,846.3699951171875,3.01,30.0,17.5,10.0,12.5,10.5,5.0,85.5,False,48.77584133226019,0.46,858.8039978027343,886.7322072347005,736.6457420349121,573.5019915771485,0.4411,0.0101,-8.59
CSCO,"Cisco Systems, Inc.",112.36000061035156,1.13,30.0,17.0,10.0,12.5,10.5,5.0,85.0,False,45.950697702412555,0.48,115.6189998626709,116.75128555297852,103.81751174926758,92.96763389587403,0.3352,0.0261,-11.89
TXN,Texas Instruments Incorporated,261.7699890136719,0.66,30.0,17.0,8.5,12.5,11.5,5.0,84.5,False,39.029596700025095,0.61,273.62749633789065,288.2551071166992,265.0890900929769,233.95339546203613,0.1416,0.0148,-14.61
FTNT,"Fortinet, Inc.",157.5399932861328,2.53,30.0,13.0,8.0,12.5,15.5,5.0,84.0,False,51.23312980968331,0.62,158.90849990844725,154.5908327738444,124.86716632843017,107.2373498916626,0.4312,0.0196,5.83
PLTR,Palantir Technologies Inc.,177.5,2.76,30.0,14.5,9.5,12.5,12.0,5.0,83.5,False,64.65038028569143,0.59,164.677498626709,140.71766624450683,142.28937447865803,151.36804981231688,0.6711,0.0051,16.65
AVGO,Broadcom Inc.,355.5899963378906,-0.32,30.0,20.5,9.0,12.5,6.5,5.0,83.5,False,34.35730810261086,0.94,392.8970001220703,390.2367390950521,384.1360572814941,368.3493304443359,0.1328,0.0161,-26.04
TER,"Teradyne, Inc.",363.1000061035156,-0.91,30.0,17.5,8.0,12.5,10.5,5.0,83.5,False,45.48261500948717,0.75,385.66199951171876,384.24499867757163,362.44361470540366,310.08613456726073,0.2418,0.0077,-7.52
GOOG,Alphabet Inc.,339.1000061035156,-1.23,30.0,20.5,6.0,12.5,9.0,5.0,83.0,False,44.178401088840026,0.93,348.4235015869141,350.9983067830404,345.1431381225586,332.70810791015623,0.2928,0.0055,-5.33
AMD,"Advanced Micro Devices, Inc.",480.92999267578125,0.37,29.5,17.0,9.0,12.5,10.0,5.0,83.0,False,48.42793343377572,0.58,483.002001953125,506.6741673787435,409.20458399454753,333.2271504211426,0.4659,0.0113,-7.79
MSFT,Microsoft Corporation,496.3699951171875,0.95,28.5,16.0,10.0,12.5,10.5,5.0,82.5,False,67.95102154816367,0.59,487.5238723754883,422.5061721801758,412.3205696105957,429.2786251831055,0.6705,0.0045,12.69
