ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
NVDA,NVIDIA Corporation,216.85000610351562,-0.33,30.0,20.5,9.5,12.5,18.5,5.0,96.0,False,53.4259139557201,0.77,212.78349990844725,208.39244486490887,201.5702424367269,195.08072532653807,0.5888,0.0088,2.12
MU,"Micron Technology, Inc.",974.3300170898438,3.97,30.0,20.5,8.5,12.5,15.0,5.0,91.5,False,55.16409941626843,0.62,893.9510009765625,964.9634745279948,735.9418065388998,567.2861795043946,0.8183,0.0069,4.96
TER,"Teradyne, Inc.",383.1499938964844,0.92,30.0,17.5,9.5,12.5,13.5,5.0,88.0,False,49.8434188296968,0.51,378.39100036621096,384.7798319498698,360.52854410807294,306.3862678527832,0.5375,0.0073,1.95
STX,Seagate Technology Holdings PLC,850.239990234375,2.12,30.0,17.5,8.5,12.5,13.5,5.0,87.0,False,48.25998233737456,0.6,852.1899963378906,890.6858530680339,721.3388374328613,562.2623007965088,0.4919,0.0101,-2.28
AVGO,Broadcom Inc.,364.0299987792969,0.43,30.0,20.5,9.0,12.5,9.5,5.0,86.5,False,36.201746319375985,0.98,396.7385009765625,395.45118001302086,382.79198532104493,368.2571095275879,0.1103,0.0157,-13.57
AMZN,"Amazon.com, Inc.",260.1099853515625,-2.16,28.5,17.0,10.0,12.5,13.5,5.0,86.5,False,50.916010235623745,0.59,260.052498626709,250.65549977620444,244.3074166615804,238.30284996032714,0.5008,0.0011,-4.32
CSCO,"Cisco Systems, Inc.",109.58999633789062,-0.87,30.0,17.0,10.0,12.5,11.5,5.0,86.0,False,39.42507512652877,0.52,116.22199974060058,117.31013209025065,102.74764404296874,92.17265312194824,0.1336,0.0268,-8.08
LRCX,Lam Research Corporation,310.5299987792969,1.09,30.0,17.0,10.0,12.5,11.5,5.0,86.0,False,47.27667230575848,0.56,307.45799713134767,335.16457214355466,292.9314317067464,252.5845011138916,0.5354,0.008,-2.57
GOOGL,Alphabet Inc.,340.6700134277344,-1.17,30.0,20.5,10.0,12.5,7.5,5.0,85.5,False,44.03002936718205,0.68,347.1429977416992,355.38384602864585,345.7840710957845,332.45921417236326,0.3878,0.0054,-12.33
AMD,"Advanced Micro Devices, Inc.",469.4549865722656,0.65,30.0,19.0,9.0,12.5,9.5,5.0,85.0,False,44.87122546472668,0.56,483.5502532958984,509.1699178059896,400.0460423787435,328.79522537231446,0.3373,0.0115,-5.26
TXN,Texas Instruments Incorporated,265.6000061035156,-0.69,30.0,17.0,8.5,12.5,11.5,5.0,84.5,False,39.9568328703541,0.64,276.457453918457,291.2698211669922,263.08501485188805,231.90323165893554,0.0046,0.0146,-15.9
PLTR,Palantir Technologies Inc.,173.9600067138672,-0.7,30.0,14.5,9.0,12.5,13.5,5.0,84.5,False,66.29810575293102,0.57,154.42349853515626,138.83399925231933,141.39095783233643,151.64209980010986,0.7102,0.0052,31.28
AMAT,"Applied Materials, Inc.",496.2099914550781,0.01,30.0,19.0,8.5,12.5,9.5,5.0,84.5,False,43.7599763852608,0.77,516.0400009155273,546.388331604004,464.88447901407875,393.80474937438964,0.3124,0.0081,10.7
WDC,Western Digital Corporation,469.04998779296875,1.51,30.0,17.5,8.0,12.5,11.5,5.0,84.5,False,45.10757564415551,0.59,489.5844970703125,547.9876770019531,455.9246200561523,356.6528052520752,0.3661,0.0134,-11.58
DDOG,"Datadog, Inc.",232.5500030517578,-0.42,28.0,15.5,10.0,12.5,13.5,5.0,84.5,False,42.37350422928631,0.57,253.7015022277832,248.18633422851562,195.48766714731852,173.90147537231445,0.182,0.0126,4.84
ADI,"Analog Devices, Inc.",370.239990234375,-0.81,30.0,17.5,8.5,12.5,10.5,5.0,84.0,False,43.43967944347691,0.87,375.93800048828126,393.29127197265626,376.26015319824216,339.96201652526855,0.3575,0.0231,-10.94
MSFT,Microsoft Corporation,481.1499938964844,-0.65,30.0,16.0,10.0,12.5,10.5,5.0,84.0,False,61.61710732555304,0.43,468.01499938964844,419.7548309326172,410.1937642415365,430.38467987060545,0.5769,0.0046,16.59
AAPL,Apple Inc.,311.29998779296875,-1.75,25.5,14.5,9.5,12.5,17.0,5.0,84.0,False,49.04824365404309,0.72,315.3694763183594,309.2810852050781,289.2751616160075,280.8220925140381,0.4205,0.0237,0.23
ASML,ASML Holding N.V. - New York Re,1750.31005859375,-0.08,29.0,14.5,9.0,12.5,13.5,5.0,83.5,False,49.25184178851998,0.5,1726.1531127929688,1762.5581583658854,1594.0169077555338,1439.226203918457,0.5667,0.0126,9.68
FTNT,"Fortinet, Inc.",150.7899932861328,-1.35,30.0,13.0,7.0,12.5,15.5,5.0,83.0,False,42.28305033843861,0.94,158.47099990844725,153.35816612243653,122.45708300272624,105.85019989013672,0.1456,0.0205,17.87
BKNG,Booking Holdings Inc. Common St,209.8699951171875,-1.47,27.0,16.0,10.0,12.5,12.0,5.0,82.5,False,61.02540711559809,0.57,203.30499954223632,183.34742838541666,177.11407356262208,185.17121002197266,0.6553,0.049,28.84
GOOG,Alphabet Inc.,338.20001220703125,-1.02,30.0,20.5,7.0,12.5,7.5,5.0,82.5,False,43.1033487646902,0.77,345.68550262451174,353.5027359008789,343.84243240356443,331.51448150634764,0.3682,0.0055,-12.06
DXCM,"DexCom, Inc.",90.22000122070312,0.38,28.0,11.5,9.5,12.5,15.5,5.0,82.0,False,66.92515131659945,0.89,84.2620002746582,76.69233360290528,70.60908336639405,69.16165006637573,0.7229,0.03,28.41
ADSK,"Autodesk, Inc.",251.02000427246094,-0.11,30.0,17.5,8.5,12.5,8.0,5.0,81.5,False,60.23621863715568,0.71,240.97750015258788,222.71383361816407,232.32416661580405,250.95179977416993,0.6793,0.0578,4.51
WDAY,"Workday, Inc.",197.32000732421875,-0.55,24.5,17.5,8.5,12.5,13.5,5.0,81.5,False,65.78932160827905,0.59,175.46599884033202,148.18749910990397,138.17141615549724,161.83584957122804,0.7952,0.064,58.49
SHOP,Shopify Inc.,147.17999267578125,0.41,29.5,11.5,10.0,12.5,12.0,5.0,80.5,False,59.31504329443002,0.49,139.1615005493164,123.82083333333334,120.96108341217041,131.71094993591308,0.6354,0.0084,38.07
MPWR,"Monolithic Power Systems, Inc.",1310.5999755859375,0.8,30.0,15.5,9.5,12.5,7.5,5.0,80.0,False,44.66413501539812,0.55,1351.7580078125,1426.40419921875,1368.9102996826173,1225.419744873047,0.2822,0.0069,-15.93
ROST,"Ross Stores, Inc.",228.99000549316406,-2.43,30.0,10.0,6.5,12.5,15.5,5.0,79.5,False,35.98091725784495,1.99,246.80750198364257,233.33588460286458,225.08354008992512,207.3529549407959,-0.0612,0.0279,-2.29
ARM,Arm Holdings plc,250.72000122070312,0.55,28.0,14.5,7.0,12.5,12.5,5.0,79.5,False,41.39273283124163,0.49,261.6099983215332,313.40949834187825,244.22395820617675,196.76572483062745,0.3453,0.005,-17.17
CSX,CSX Corporation,50.970001220703125,0.57,23.0,11.5,10.0,12.5,17.0,5.0,79.0,False,57.41520116534923,0.66,50.65300025939941,48.80493221282959,45.69718761444092,42.1711554145813,0.6025,0.0207,8.46
MDLZ,"Mondelez International, Inc.",64.13999938964844,-0.03,23.0,12.5,9.0,12.5,17.0,5.0,79.0,False,59.66374400109265,0.69,62.57950000762939,61.18610108693441,59.6183224995931,58.02823196411133,0.8471,0.0275,3.9
ABNB,"Airbnb, Inc.",185.0,-0.75,26.0,11.5,9.0,12.5,13.5,5.0,77.5,False,70.36199062806915,0.9,166.66675033569337,149.34075012207032,141.63637504577636,135.87014995574953,0.7671,0.0294,40.05
ADBE,Adobe Inc.,272.2200012207031,-0.09,23.5,17.5,9.5,12.5,9.5,5.0,77.5,False,61.195508856705615,0.51,257.95899658203126,235.32449900309246,242.2995829264323,270.7397499847412,0.7955,0.0852,14.26
NXPI,NXP Semiconductors N.V.,222.97000122070312,-1.35,30.0,17.5,8.5,12.5,3.5,5.0,77.0,False,33.6847154186068,0.42,237.79250106811523,275.2263526916504,254.8840367635091,241.21180839538573,0.2188,0.0632,-32.05
SNDK,Sandisk Corporation,1600.6199951171875,2.02,26.5,13.0,6.5,12.5,13.5,5.0,77.0,False,53.88456462212659,0.63,1373.155499267578,1659.9879964192708,1306.6704142252604,932.2689490509033,0.786,0.0329,0.67
SBUX,Starbucks Corporation,103.98999786376953,-0.94,21.0,14.0,8.0,12.5,15.0,5.0,75.5,False,46.51295846981471,0.98,105.01215858459473,102.56163597106934,100.28451016743978,95.28192649841309,0.3563,0.0259,2.44
KLAC,KLA Corporation,185.86000061035156,-0.75,22.5,14.5,8.5,12.5,12.5,5.0,75.5,False,40.769158216596644,0.58,194.25316925048827,217.36188532511395,191.49971961975098,167.8292663574219,0.3057,0.0108,-4.93
ALAB,"Astera Labs, Inc.",290.5199890136719,0.52,30.0,11.5,7.0,12.5,9.5,5.0,75.5,False,41.89475210859346,0.48,307.8684989929199,350.1959154764811,259.0308744430542,218.32974979400635,0.3311,0.0018,-10.7
AMGN,Amgen Inc.,433.7300109863281,-1.95,23.5,13.0,9.0,12.5,12.0,5.0,75.0,False,71.39307581275243,0.98,404.99200134277345,370.10716807047527,358.5211952209473,349.06554931640625,0.8685,0.0368,29.11
PAYX,"Paychex, Inc.",122.91000366210938,0.33,24.0,13.0,8.5,12.5,12.0,5.0,75.0,False,62.134365228633364,0.86,119.48799476623535,107.53273010253906,99.1180814107259,101.20927249908448,0.7793,,31.0
MCHP,Microchip Technology Incorporat,75.80999755859375,-1.65,22.0,17.5,9.5,12.5,8.5,5.0,75.0,False,43.13084812035566,0.59,77.79600067138672,86.17600021362304,82.12209513982137,76.01302673339843,0.3385,0.0332,-21.72
ODFL,"Old Dominion Freight Line, Inc.",204.52000427246094,-0.27,27.5,10.0,10.0,12.5,9.5,5.0,74.5,False,37.456684176512525,0.59,215.84350204467773,223.17324396769206,211.8372412363688,191.72404140472412,0.1525,0.0229,-1.4
COST,Costco Wholesale Corporation,933.510009765625,-2.45,30.0,7.0,8.5,12.5,11.0,5.0,74.0,False,42.67015757915305,1.28,952.4560028076172,951.5206034342448,977.7666071573893,956.5995083618164,0.0181,0.0168,-6.84
FANG,"Diamondback Energy, Inc.",211.02000427246094,1.18,30.0,4.0,8.0,12.5,14.0,5.0,73.5,False,64.53106453027469,1.11,198.57128829956054,192.08825505574544,191.3856549580892,175.69332176208496,0.913,0.0852,10.03
APP,Applovin Corporation,308.7699890136719,-0.65,30.0,17.5,7.5,12.5,0.5,5.0,73.0,False,30.179260151209363,0.59,358.8320022583008,455.3566685994466,454.34191843668617,501.80677612304686,0.2319,0.0307,-45.62
ROP,"Roper Technologies, Inc.",410.45001220703125,0.77,27.0,13.0,8.0,12.5,7.0,5.0,72.5,False,66.43387875808342,0.7,393.1010025024414,357.2717305501302,353.25757217407227,377.5012197875977,0.8189,0.0558,26.97
VRTX,Vertex Pharmaceuticals Incorpor,540.260009765625,-2.14,19.5,11.5,10.0,12.5,14.0,5.0,72.5,False,64.75983890258652,0.56,502.03899841308595,479.9321655273437,463.27808303833007,459.1260995483398,0.8851,0.0192,23.93
CDNS,"Cadence Design Systems, Inc.",313.5899963378906,-0.44,30.0,11.5,8.5,12.5,4.5,5.0,72.0,False,31.394495868395865,0.72,330.31949920654296,361.5481669108073,337.6178337097168,327.1569502258301,0.0467,0.0186,-16.16
LITE,Lumentum Holdings Inc.,879.280029296875,6.24,16.5,17.5,7.0,12.5,13.5,5.0,72.0,False,53.461834566324136,0.78,812.1234985351563,828.7193328857422,824.5517496744792,649.2838999176025,0.6722,0.0028,-2.55
