ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
GOOGL,Alphabet Inc.,363.7900085449219,-2.53,30.0,18.5,10.0,12.5,15.5,5.0,91.5,False,46.17531110979175,0.77,372.5363250732422,353.3890350341797,335.15015131632487,309.9448498535156,0.3161,0.0063,25.33
NVDA,NVIDIA Corporation,204.64999389648438,-1.33,30.0,20.5,9.5,12.5,13.5,5.0,91.0,False,45.44382216748111,0.74,212.30701217651367,202.77148996988933,193.7769551595052,189.48370658874512,0.2198,0.0093,16.95
GOOG,Alphabet Inc.,362.1000061035156,-2.43,30.0,18.5,7.5,12.5,15.5,5.0,89.0,False,46.83748467127381,0.69,369.5376174926758,350.8620101928711,333.9420384724935,309.47207664489747,0.3336,0.0063,25.28
MU,"Micron Technology, Inc.",1043.18994140625,2.2,29.0,20.5,9.0,12.5,12.5,5.0,88.5,False,61.73722007335189,0.85,945.4774932861328,659.1907368977865,522.7523020426432,395.54346870422364,0.7309,0.0025,163.86
ADI,"Analog Devices, Inc.",414.45001220703125,-0.37,29.5,19.0,9.0,12.5,12.5,5.0,87.5,False,52.37702837571972,0.7,411.14838256835935,384.70211435953775,349.0467170715332,307.9842797088623,0.561,0.0192,29.13
AVGO,Broadcom Inc.,392.8999938964844,4.3,30.0,20.5,8.0,12.5,10.5,5.0,86.5,False,46.15016896855239,1.18,414.05750274658203,394.159001159668,363.1510195414225,358.58315078735353,0.3359,0.0146,23.44
STX,Seagate Technology Holdings PLC,1066.0699462890625,3.37,27.5,19.0,9.0,12.5,12.0,5.0,85.0,False,73.80268514587289,1.32,893.3664916992187,693.1698298136394,532.3613484700521,416.6540654754639,1.0451,0.0067,151.3
ROST,"Ross Stores, Inc.",233.25,-0.53,30.0,10.0,9.0,12.5,18.5,5.0,85.0,False,55.148109710237044,0.66,230.37709350585936,223.88247985839843,209.6821075439453,189.94670219421386,0.6135,0.0274,8.3
NXPI,NXP Semiconductors N.V.,298.20001220703125,-1.55,28.0,17.5,9.0,12.5,12.5,5.0,84.5,False,49.49754455234688,0.72,311.1545013427734,264.77693328857424,243.90422821044922,232.19408088684082,0.2567,0.0362,52.62
AAPL,Apple Inc.,295.95001220703125,-1.1,26.0,16.0,9.5,12.5,15.5,5.0,84.5,False,48.92330330657273,0.85,303.60950164794923,282.00155614217124,271.9425146738688,267.4483112335205,0.2573,0.0233,17.72
TXN,Texas Instruments Incorporated,301.8800048828125,-1.25,28.0,17.0,9.0,12.5,12.5,5.0,84.0,False,53.69523498270247,0.85,302.87400207519534,264.6558558146159,232.18474731445312,207.92728210449218,0.4777,0.0039,55.89
CSCO,"Cisco Systems, Inc.",117.33000183105469,-1.87,28.5,14.5,10.0,12.5,12.5,5.0,83.0,False,52.69780675183412,0.76,121.0400001525879,100.17427164713541,88.89412638346354,81.88013401031495,0.2493,0.0201,45.89
MPWR,"Monolithic Power Systems, Inc.",1448.2099609375,-3.37,30.0,13.0,7.0,12.5,15.5,5.0,83.0,False,43.79874821458817,1.41,1575.4060119628907,1468.269955444336,1273.6336227416991,1139.1258740234375,0.0282,0.0069,31.73
LRCX,Lam Research Corporation,374.17999267578125,1.38,29.0,14.5,8.0,12.5,14.0,5.0,83.0,False,65.64203313598661,1.03,332.15819549560547,282.4687446594238,251.1084762573242,208.23906997680663,0.8901,0.0093,56.78
WDC,Western Digital Corporation,712.1300048828125,4.56,29.0,19.0,5.0,12.5,12.0,5.0,82.5,False,75.74562973866733,1.82,550.5405532836915,441.0493718465169,346.6557854970296,262.6364743423462,1.1131,0.0085,136.61
EA,Electronic Arts Inc.,203.02000427246094,0.0,26.5,15.5,7.5,12.5,14.5,5.0,81.5,False,58.288141141682416,1.65,202.2874496459961,202.1617510477702,201.93651212056477,198.76657829284667,0.6966,0.0436,0.79
AMD,"Advanced Micro Devices, Inc.",512.47998046875,1.02,26.5,17.0,8.0,12.5,12.5,5.0,81.5,False,57.68264942128337,0.86,497.3680023193359,372.45166778564453,293.466583887736,259.2750002288818,0.628,0.0086,149.54
AMZN,"Amazon.com, Inc.",237.5,-3.46,28.5,14.5,8.5,12.5,11.5,5.0,80.5,False,36.891414529334234,1.06,254.30900192260742,248.56366729736328,235.58083356221516,232.7084001159668,0.1636,0.0038,14.6
QCOM,QUALCOMM Incorporated,212.97000122070312,-0.51,23.0,19.0,10.0,12.5,10.5,5.0,80.0,False,50.85342061586562,0.56,223.86153335571288,178.62454312642416,163.63932558695475,164.9545806121826,0.3475,0.0427,66.13
META,"Meta Platforms, Inc.",567.5800170898438,-5.44,30.0,20.5,8.0,12.5,2.5,5.0,78.5,False,39.4389808632501,1.12,600.3946594238281,612.817069498698,631.1783157348633,654.4770935058593,0.1355,0.0177,-4.19
DDOG,"Datadog, Inc.",226.6300048828125,-1.94,26.5,15.5,8.5,12.5,10.5,5.0,78.5,False,54.77918356715381,0.6,234.34650039672852,173.11566708882648,149.07162526448568,151.00045043945312,0.3814,0.0116,84.9
BKR,Baker Hughes Company,60.06999969482422,-2.36,27.0,11.5,9.0,12.5,13.0,5.0,78.0,False,37.98540729994573,0.84,63.98649997711182,63.81973425547282,59.92690518697103,54.78177465438843,-0.0576,0.0529,-5.07
DXCM,"DexCom, Inc.",71.2300033569336,-2.64,30.0,14.0,8.0,12.5,8.5,5.0,78.0,False,50.39405834796637,0.73,73.45700035095214,66.01449991861979,67.98491662343343,67.52585008621216,0.2144,0.0384,6.95
VRTX,Vertex Pharmaceuticals Incorpor,458.989990234375,1.28,28.0,11.5,8.0,12.5,13.0,5.0,78.0,False,61.85771372052446,1.14,441.22949676513673,438.7939997355143,453.2018323262533,439.3797491455078,1.0097,0.0239,2.31
MDLZ,"Mondelez International, Inc.",60.86000061035156,-2.08,23.0,14.5,8.0,12.5,15.0,5.0,78.0,False,46.213210632828414,1.11,61.90900020599365,59.949363708496094,58.53855304718017,58.283999042510985,0.2058,0.0364,7.36
BKNG,Booking Holdings Inc. Common St,171.6300048828125,-2.33,30.0,16.0,8.5,12.5,6.0,5.0,78.0,False,56.3324583420588,0.79,165.7038902282715,169.18549880981445,178.38339360555014,190.0633987426758,0.8031,0.0532,0.25
AMAT,"Applied Materials, Inc.",592.9199829101562,4.35,26.0,14.5,8.0,12.5,12.0,5.0,78.0,False,73.40359025190011,1.25,492.38150177001955,425.42150014241537,376.86798528035484,314.887373046875,0.9631,0.0065,58.74
MCHP,Microchip Technology Incorporat,94.11000061035156,-1.59,19.5,17.5,8.5,12.5,14.0,5.0,77.0,False,51.54696585318736,0.86,94.09427337646484,85.71414286295573,78.61221113204957,71.6554242515564,0.5012,0.0223,44.11
SBUX,Starbucks Corporation,99.81999969482422,-1.83,19.5,14.0,9.0,12.5,16.5,5.0,76.5,False,48.91700198717669,0.86,99.69550018310547,99.03704109191895,96.2104139328003,90.90541427612305,0.5088,-0.0115,9.16
ADSK,"Autodesk, Inc.",193.07000732421875,-4.13,30.0,17.5,6.0,12.5,4.5,5.0,75.5,False,27.67103588477171,1.05,225.88850173950195,234.0165003458659,245.41108360290528,270.3979500579834,0.0219,0.0751,-19.35
LIN,Linde plc,515.8499755859375,-0.45,16.0,13.0,10.0,12.5,18.5,5.0,75.0,False,55.56732414683742,0.86,509.1346496582031,502.47361653645834,482.8293947855631,464.37687133789063,0.697,0.0197,7.84
LITE,Lumentum Holdings Inc.,869.97998046875,-0.61,20.5,17.5,7.0,12.5,12.5,5.0,75.0,False,47.34881989138514,0.88,903.6605041503906,880.538666788737,699.2860005696615,508.86697532653807,0.3289,0.0014,8.48
ARM,Arm Holdings plc,418.8800048828125,5.69,25.5,10.0,7.5,12.5,14.0,5.0,74.5,False,66.65943995171894,0.87,353.1604995727539,240.20075047810872,179.067541885376,166.2978252029419,0.8468,0.0017,210.37
MNST,Monster Beverage Corporation,91.66000366210938,-1.39,25.5,8.5,9.0,12.5,14.0,5.0,74.5,False,64.07922050703719,0.8,89.48600006103516,81.4233336130778,80.39458357493082,75.99790018081666,0.7522,0.0188,25.56
NFLX,"Netflix, Inc.",76.95999908447266,-2.24,30.0,14.5,6.0,12.5,6.0,5.0,74.0,False,26.05130736166801,1.39,83.6424991607666,90.57416648864746,89.33391653696695,98.56523494720459,0.0233,0.0802,-15.35
WDAY,"Workday, Inc.",121.83000183105469,-3.9,30.0,17.5,4.5,12.5,4.5,5.0,74.0,False,39.29262331707415,0.75,135.37549934387206,127.90233345031739,147.31249968210855,180.2029496383667,0.183,0.1037,-5.77
ABNB,"Airbnb, Inc.",140.5399932861328,-0.47,21.0,14.0,8.0,12.5,13.0,5.0,73.5,False,60.38741716042658,0.9,134.32699966430664,134.6591667175293,132.7533748626709,129.08187492370607,0.994,0.0383,8.11
APP,Applovin Corporation,479.489990234375,-6.93,30.0,15.5,5.0,12.5,5.5,5.0,73.5,False,42.714845257574964,1.08,535.9765060424804,475.49000244140626,492.5499183654785,542.3057760620118,0.2081,0.0197,10.0
GILD,"Gilead Sciences, Inc.",125.44999694824219,-1.4,30.0,11.5,7.5,12.5,7.0,5.0,73.5,False,43.385641506504,0.93,128.43677673339843,132.3211612701416,134.86473350524903,127.72322330474853,0.3039,0.0509,-8.57
ROP,"Roper Technologies, Inc.",329.9700012207031,-2.18,30.0,15.5,6.0,12.5,4.5,5.0,73.5,False,46.11382102897271,1.27,330.1709976196289,342.84134572347006,359.7159538269043,405.4187908935547,0.4927,0.0652,-4.37
