ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
NVDA,NVIDIA Corporation,213.89999389648438,0.82,30.0,20.5,9.5,12.5,13.5,5.0,91.0,False,46.887550864678325,0.74,218.3342628479004,210.5540875752767,207.09778811136883,197.59365356445312,0.3275,0.0081,7.05
MRVL,"Marvell Technology, Inc.",229.7100067138672,3.61,30.0,17.0,6.5,12.5,18.5,5.0,89.5,False,52.655717193168066,0.69,227.6395004272461,224.38671137491863,204.92894814809162,156.83809768676758,0.5403,0.0117,-17.66
MU,"Micron Technology, Inc.",926.5499877929688,-0.11,30.0,20.5,7.5,12.5,12.5,5.0,88.0,False,46.77233323601566,0.82,955.5075012207031,949.755903116862,817.4879308064778,632.4331217956543,0.2741,0.0073,-11.89
AMD,"Advanced Micro Devices, Inc.",512.5,1.65,29.5,19.0,7.0,12.5,15.0,5.0,88.0,False,56.08289751472936,1.25,482.3019989013672,501.54283345540364,442.52525062561034,351.286000213623,0.8541,0.0106,-1.41
CSCO,"Cisco Systems, Inc.",107.73999786376953,-2.12,30.0,17.0,9.0,12.5,14.5,5.0,88.0,False,41.11941262618038,1.12,110.02499961853027,113.94253756205241,107.529740524292,95.43214809417725,0.0692,0.0263,-10.74
PAYX,"Paychex, Inc.",116.72000122070312,-1.34,30.0,13.0,7.5,12.5,18.5,5.0,86.5,False,43.39965587482846,1.06,121.96250076293946,114.99012463887533,103.76361904144287,102.45988620758057,0.1982,0.0504,20.35
GOOGL,Alphabet Inc.,342.8699951171875,-0.61,30.0,18.5,10.0,12.5,9.5,5.0,85.5,False,50.063051835588574,0.79,341.08054504394534,347.1551177978516,351.2969024658203,336.7697930908203,0.5888,0.0054,-0.88
ADI,"Analog Devices, Inc.",362.0400085449219,0.19,30.0,17.5,8.5,12.5,11.5,5.0,85.0,False,45.64728367300129,0.85,365.1615020751953,376.7097763061523,382.09764709472654,350.8073664855957,0.3837,0.0236,-10.83
ABNB,"Airbnb, Inc.",167.50999450683594,-0.48,28.5,11.5,9.0,12.5,18.5,5.0,85.0,False,41.52922466020357,0.71,180.30024948120118,162.69583333333333,148.84241676330566,141.3249249267578,0.1178,0.0325,20.64
AMZN,"Amazon.com, Inc.",245.9600067138672,-0.99,30.0,17.0,8.5,12.5,11.5,5.0,84.5,False,39.44670208590373,1.04,257.1859985351563,252.64699935913086,251.09058316548666,240.1117498779297,-0.0422,0.0012,5.06
TXN,Texas Instruments Incorporated,260.6700134277344,-1.05,30.0,19.0,8.5,12.5,9.5,5.0,84.5,False,45.13010697054174,0.7,261.011003112793,278.6000030517578,273.15689417521156,241.1684962463379,0.4802,0.0149,-13.92
MSFT,Microsoft Corporation,490.29998779296875,-1.37,30.0,16.0,9.5,12.5,10.5,5.0,83.5,False,51.846431313246455,0.82,496.16100006103517,445.57969868977864,424.87940470377606,429.9809295654297,0.3378,0.0045,31.36
STX,Seagate Technology Holdings PLC,783.1799926757812,1.47,30.0,17.5,6.0,12.5,11.5,5.0,82.5,False,42.449772588501425,0.98,830.8619995117188,859.5998321533203,787.1869219462077,613.1780889892578,0.1377,0.0109,-24.54
GOOG,Alphabet Inc.,339.3599853515625,-0.61,30.0,18.5,7.0,12.5,9.5,5.0,82.5,False,49.456995489517794,0.81,337.91698303222654,345.0704274495443,348.99997329711914,335.49519317626954,0.5763,0.0055,-1.88
WDAY,"Workday, Inc.",187.75999450683594,-1.53,28.0,17.5,8.5,12.5,10.5,5.0,82.0,False,50.36603985232008,0.54,194.6764991760254,165.86966552734376,146.66608289082845,158.92389949798584,0.23,0.0673,63.09
AMAT,"Applied Materials, Inc.",415.3800048828125,-1.37,30.0,19.0,7.5,12.5,7.5,5.0,81.5,False,33.03310775566651,0.9,460.72050323486326,526.9530731201172,480.2461825052897,413.7396784210205,0.0484,0.0093,-29.03
