ticker,name,price,pct_change,p1,p2,p3,p4,p5,p6,total,zero_flag,rsi,vol_ratio,ma20,ma60,ma120,ma200,bb_position,fcf_yield,ret_60d
NXPI,NXP Semiconductors N.V.,279.17999267578125,-0.66,28.5,17.5,7.5,12.5,18.5,5.0,89.5,False,43.041459466232105,0.96,298.94069213867186,278.78972142537435,248.27020441691081,234.6762702178955,0.1528,0.0387,43.57
MU,"Micron Technology, Inc.",1032.280029296875,-10.57,30.0,20.5,8.5,12.5,12.5,5.0,89.0,False,51.78911117132882,0.87,1048.4720031738282,773.5611689249674,584.1718638102213,440.1327653503418,0.4588,0.0066,173.39
ADI,"Analog Devices, Inc.",388.9800109863281,-2.06,30.0,17.5,8.0,12.5,15.5,5.0,88.5,False,43.82931404599471,0.98,412.0040054321289,398.6801361083984,358.920938873291,315.3844711303711,0.1559,0.0204,19.13
GOOGL,Alphabet Inc.,361.2099914550781,1.07,30.0,18.5,10.0,12.5,12.0,5.0,88.0,False,50.3685162692604,0.67,358.4651763916016,362.9418111165365,337.9012077331543,315.2651419830322,0.5687,0.0063,18.32
STX,Seagate Technology Holdings PLC,915.1900024414062,-5.16,29.5,19.0,8.5,12.5,12.5,5.0,87.0,False,49.22681250648063,0.77,956.4411376953125,781.2449869791667,584.8981521606445,452.83710205078125,0.3758,0.0078,95.39
WDC,Western Digital Corporation,598.3699951171875,-6.32,30.0,19.0,8.0,12.5,12.5,5.0,87.0,False,50.46946955838797,0.73,614.9482543945312,497.3830139160156,382.1685718536377,288.22952491760253,0.4461,0.0101,91.86
NVDA,NVIDIA Corporation,197.5800018310547,-1.25,30.0,20.5,9.0,12.5,9.5,5.0,86.5,False,43.32056089691577,0.85,204.46849975585937,206.74014892578126,194.66557579040528,190.7330249786377,0.2504,0.0097,11.07
GOOG,Alphabet Inc.,357.8900146484375,1.29,30.0,18.5,7.5,12.5,12.0,5.0,85.5,False,49.73423098597218,0.71,356.4301986694336,360.32837727864586,336.5042048136393,314.6967404937744,0.5374,0.0064,17.82
TXN,Texas Instruments Incorporated,298.4100036621094,0.11,28.0,17.0,9.0,12.5,12.5,5.0,84.0,False,49.91493626718967,0.81,301.0759979248047,281.3949910481771,241.7617453257243,213.34482734680176,0.4488,0.0039,50.16
TER,"Teradyne, Inc.",427.3399963378906,-11.68,29.5,13.0,7.5,12.5,15.5,5.0,83.0,False,52.31820812534012,0.97,416.31599884033204,381.21962178548176,332.7684356689453,266.4959345626831,0.5736,0.0045,33.39
LRCX,Lam Research Corporation,391.260009765625,-9.71,29.0,13.0,8.0,12.5,15.5,5.0,83.0,False,56.35585847520631,1.3,368.86376800537107,309.0103574117025,266.9267698923747,221.3273780441284,0.6637,0.0089,74.52
AVGO,Broadcom Inc.,369.3399963378906,-2.23,30.0,20.5,9.0,12.5,5.5,5.0,82.5,False,42.098190078933655,0.65,389.87626495361326,404.208539835612,365.1937850952148,360.20365539550784,0.2919,0.0155,10.77
META,"Meta Platforms, Inc.",612.9099731445312,8.81,30.0,20.5,6.5,12.5,8.0,5.0,82.5,False,58.51165058922489,2.28,578.4839691162109,612.8385498046875,624.2562001546224,646.3029916381836,0.8691,0.0164,6.68
CSCO,"Cisco Systems, Inc.",117.01000213623047,-0.38,28.5,14.5,9.5,12.5,12.5,5.0,82.5,False,50.163359780593844,1.1,120.41550025939941,106.05883331298828,92.08291645050049,84.23022373199463,0.2588,0.0201,45.03
AAPL,Apple Inc.,294.3800048828125,1.73,26.0,16.0,9.5,12.5,13.5,5.0,82.5,False,50.98610404320745,0.74,294.8839996337891,287.53698476155597,273.47951838175453,269.958233795166,0.4858,0.0234,16.23
AMAT,"Applied Materials, Inc.",650.9099731445312,-9.97,26.0,14.5,8.0,12.5,15.5,5.0,81.5,False,60.36969353135917,1.23,580.3110000610352,469.7644551595052,404.84727834065757,336.58880348205565,0.7379,0.0059,83.94
EA,Electronic Arts Inc.,205.4499969482422,0.2,26.5,15.5,10.0,12.5,11.0,5.0,80.5,False,70.24028058917028,0.77,203.60349960327147,202.4074951171875,201.95389518737792,200.3684630584717,0.9595,0.0431,0.83
ALAB,"Astera Labs, Inc.",430.8599853515625,-10.8,28.0,11.5,7.5,12.5,15.5,5.0,80.0,False,60.24841731865022,0.89,386.5499969482422,275.70274912516277,207.4869581222534,194.80469997406007,0.7592,0.0032,262.1
APP,Applovin Corporation,564.6099853515625,9.58,30.0,15.5,6.5,12.5,10.0,5.0,79.5,False,62.329463491290284,1.07,506.3994995117188,488.3351684570313,478.91008478800455,540.244575958252,0.8721,0.0168,37.56
BKNG,Booking Holdings Inc. Common St,182.63999938964844,2.47,29.5,16.0,8.5,12.5,8.0,5.0,79.5,False,61.656914646195645,0.74,171.3133415222168,170.49738540649415,175.5252429962158,188.14268280029296,0.8849,0.05,5.59
AMD,"Advanced Micro Devices, Inc.",540.8800048828125,-6.89,24.5,17.0,8.0,12.5,12.5,5.0,79.5,False,56.477972081462674,0.86,518.0705001831054,421.8726671854655,317.6329167683919,276.40314994812013,0.6815,0.0081,144.16
AMZN,"Amazon.com, Inc.",241.6999969482422,1.41,26.5,14.5,9.5,12.5,11.5,5.0,79.5,False,47.84938353975506,0.83,240.6134994506836,252.85133361816406,235.77308336893717,232.92635009765624,0.5414,0.0038,13.07
QCOM,QUALCOMM Incorporated,181.9199981689453,-1.55,27.0,17.5,6.0,12.5,11.5,5.0,79.5,False,40.09559641068702,0.94,209.1895004272461,189.47755025227863,165.60168444315593,166.88399085998535,0.1215,0.05,47.17
MPWR,"Monolithic Power Systems, Inc.",1331.72998046875,-3.66,30.0,13.0,7.0,12.5,11.5,5.0,79.0,False,40.689658902258685,1.03,1492.562188720703,1514.43076171875,1307.060506693522,1163.1871960449218,0.1375,0.0075,11.97
GILD,"Gilead Sciences, Inc.",125.97000122070312,-0.29,30.0,11.5,10.0,12.5,9.5,5.0,78.5,False,47.0333278194817,0.66,125.67151184082032,130.55396270751953,135.16328353881835,128.3362367248535,0.5394,0.0507,-8.65
ROST,"Ross Stores, Inc.",211.89999389648438,-0.45,30.0,10.0,9.0,12.5,11.5,5.0,78.0,False,37.05247727631184,0.61,227.8081497192383,224.69589131673177,212.5739995320638,193.1736240386963,0.0938,0.0301,-1.86
DXCM,"DexCom, Inc.",68.86000061035156,2.24,30.0,14.0,7.0,12.5,9.5,5.0,78.0,False,46.23230445729468,0.9,72.11100044250489,66.86300010681153,68.11091664632161,67.15625005722046,0.2292,0.0398,9.11
ABNB,"Airbnb, Inc.",147.30999755859375,2.94,21.0,14.0,10.0,12.5,14.0,5.0,76.5,False,62.096701872847945,0.81,138.4724998474121,137.12250035603842,133.27904167175294,129.9356749343872,0.8861,0.0365,17.88
LITE,Lumentum Holdings Inc.,801.1599731445312,-6.63,22.5,17.5,7.0,12.5,11.5,5.0,76.0,False,43.07268175293202,0.69,871.7419982910156,895.7369995117188,734.0478337605795,540.1269500732421,0.0934,0.0015,-1.79
VRTX,Vertex Pharmaceuticals Incorpor,498.010009765625,0.26,26.5,11.5,10.0,12.5,10.0,5.0,75.5,False,73.50539732087879,0.65,461.094499206543,444.253667195638,454.71616643269857,443.2052494812012,0.9164,0.022,15.32
ADSK,"Autodesk, Inc.",199.75999450683594,2.75,30.0,17.5,7.0,12.5,3.5,5.0,75.5,False,41.515355701372506,0.67,204.94950103759766,227.43500061035155,237.74683316548666,264.57805015563963,0.4175,0.0726,-14.98
WDAY,"Workday, Inc.",130.27000427246094,6.41,30.0,17.5,4.5,12.5,6.0,5.0,75.5,False,53.26542919822562,0.68,128.8759994506836,126.55583343505859,140.25466639200846,175.27209968566893,0.5308,0.0969,2.16
